ra_1	dec_1	cz	ecz	u	g	r	i	zm	mur	mem	dist	gl	gb	foo	rf	gr	rp
194.77853	27.77247	006244	004	18.769	17.183	16.475	16.124	16.077		1	00.278	54.09344	88.17927				
194.78122	27.76778	006361	002	17.295	15.479	14.701	14.318	14.074		1	00.280	53.92907	88.17865				
194.71152	28.08402	006074	002	17.794	16.092	15.331	14.959	14.685		1	00.280	63.57354	88.10083				
195.02568	28.25234	006361	028	23.292	17.439	17.204	17.276	17.803		1	00.284	63.80393	87.77685				
195.02606	27.68531	007544	002	17.907	16.226	15.457	15.085	14.842		1	00.285	49.58087	87.99759				
194.68942	27.87996	008465	011	19.656	18.318	17.588	17.312	17.033		1	00.289	58.20262	88.21130				
195.09246	28.24710	007519	006	19.347	17.552	16.789	16.477	16.303		1	00.289	62.95063	87.72818				
194.68397	28.04897	008871	011	20.070	18.148	17.485	17.172	16.967		1	00.291	63.00869	88.13925				
194.72267	28.12607	007008	002	17.978	16.038	15.255	14.869	14.603		1	00.291	64.51277	88.07115				
194.72106	27.81342	005522	002	18.275	16.545	15.752	15.404	15.079		1	00.292	55.88965	88.21188				
194.93569	28.25653	007884	028	18.751	18.402	17.670	17.343	17.191		1	00.293	64.94997	87.84305				
195.30693	28.08312	005808	007	19.210	17.826	17.129	16.772	16.637		1	00.293	57.25805	87.63035				
194.69215	27.86087	008776	010	19.210	18.169	17.513	17.172	16.888		1	00.293	57.61194	88.21690				
195.33331	27.96103	007874	011	19.476	18.089	17.466	17.161	17.063		1	00.294	54.29119	87.65387				
195.21292	27.74301	008134	007	18.958	17.396	16.713	16.369	16.302		1	00.294	49.87210	87.82271				
194.74011	27.78544	006939	003	17.865	16.395	15.707	15.345	15.145		1	00.295	54.85873	88.20650				
195.28847	27.81833	005920	003	17.257	15.712	14.976	14.621	14.484		1	00.296	51.24543	87.73720				
194.82648	27.71575	006672	004	19.112	17.570	16.887	16.559	16.320		1	00.297	51.98047	88.15785				
194.72764	27.79561	006470	004	18.480	17.047	16.287	15.914	15.715		1	00.297	55.29023	88.21309				
194.66228	27.95387	005992	004	18.612	17.148	16.461	16.126	15.934		1	00.299	60.66271	88.20091				
194.70302	27.81043	005919	002	16.643	14.840	14.049	13.655	13.371		1	00.307	55.99421	88.22778				
195.29459	27.80291	006691	002	17.171	15.636	14.895	14.514	14.305		1	00.309	50.83193	87.73653				
195.13528	28.25606	006282	014	18.684	17.930	17.119	16.846	16.525		1	00.310	62.69174	87.69082				
194.71707	27.78506	005653	002	17.136	15.383	14.622	14.236	13.981		1	00.311	55.08389	88.22564				
195.33048	27.86048	008217	005	18.604	17.330	16.855	16.604	16.508		1	00.311	51.97195	87.68908				
195.32435	28.09707	008041	008	20.905	18.086	17.386	17.002	16.852		1	00.313	57.42050	87.61072				
194.92216	27.65985	006749	003	17.546	16.040	15.293	14.870	14.638		1	00.317	49.59135	88.09306				
195.36311	27.99920	007643	002	18.256	16.447	15.652	15.255	14.954		1	00.321	54.93376	87.61584				
194.65034	27.87289	007095	027	19.154	18.028	17.339	17.065	17.071		1	00.324	58.45914	88.24566				
194.66973	27.82692	006168	005	18.864	17.328	16.597	16.275	16.063		1	00.325	56.85802	88.24860				
194.81246	28.25101	007435	011	17.653	16.703	16.401	16.172	16.166		1	00.327	66.37638	87.93823				
195.32330	27.80909	007299	002	16.293	14.596	13.796	13.380	13.114		1	00.327	50.79663	87.71043				
195.35884	27.88600	005471	002	15.062	13.363	12.534	12.167	12.005		1	00.327	52.37766	87.65732				
195.36860	27.92657	007526	006	19.186	17.622	16.895	16.576	16.356		1	00.328	53.24600	87.63613				
194.65313	27.84949	006163	005	19.319	17.885	17.119	16.770	16.452		1	00.330	57.72795	88.25305				
195.32942	28.12814	006808	005	19.113	17.446	16.771	16.421	16.202		1	00.331	58.05786	87.59416				
194.75756	28.22535	008020	002	16.677	14.910	14.101	13.682	13.385		1	00.334	66.50181	87.99280				
194.62585	28.01475	007146	002	16.282	14.608	13.841	13.449	13.217		1	00.334	62.85599	88.20073				
194.63296	28.04962	005705	002	17.929	16.364	15.620	15.256	15.006		1	00.334	63.71829	88.17808				
194.65900	27.82259	005392	015	18.870	17.808	17.313	17.124	17.093		1	00.336	56.84943	88.25903				
194.65146	28.11374	006803	002	16.887	15.051	14.235	13.839	13.546		1	00.340	65.17204	88.13131				
194.85896	28.28754	007998	003	18.158	16.695	16.016	15.699	15.469		1	00.342	66.61418	87.88404				
195.29676	27.74252	007367	015	19.733	18.343	17.686	17.398	17.096		1	00.346	49.34399	87.75137				
194.68976	27.75389	006624	013	18.883	17.785	17.081	16.818	16.714		1	00.349	54.41682	88.25936				
195.39102	27.91112	006563	014	18.484	17.255	16.644	16.383	16.649		1	00.350	52.73753	87.62239				
194.72692	28.22297	007084	011	19.464	18.196	17.541	17.189	16.797		1	00.350	66.86533	88.01677				
195.14031	27.63777	007484	002	16.361	15.401	15.123	14.950	14.735		1	00.354	47.57614	87.91166				
195.09325	27.62357	007601	005	18.470	16.880	16.164	15.811	15.634		1	00.355	47.46420	87.95552				
195.27424	27.70890	008731	021	19.692	18.381	17.663	17.446	17.121		1	00.355	48.64277	87.77930				
195.11522	27.62523	005873	005	18.933	17.325	16.648	16.315	16.134		1	00.359	47.38283	87.93621				
195.38250	27.84753	005463	002	16.081	14.337	13.547	13.148	12.948		1	00.359	51.32710	87.64913				
195.40553	28.01577	007145	008	19.908	18.079	17.295	16.988	16.743		1	00.361	54.98497	87.57494				
194.67344	28.18550	008042	010	19.370	17.640	16.984	16.603	16.441		1	00.361	66.69627	88.07670				
194.59096	27.96778	006011	002	16.697	14.983	14.174	13.769	13.517		1	00.362	62.00295	88.25030				
194.72066	28.23383	006068	009	19.470	18.174	17.455	17.103	16.941		1	00.362	67.21504	88.01543				
