ra_1	dec_1	cz	ecz	u	g	r	i	zm	mur	mem	dist	gl	gb	foo	rf	gr	rp
194.58555	27.42939	007541	003	18.843	17.366	16.779	16.489	16.278		1	00.653	44.43237	88.43663				
194.36464	27.63627	008041	005	18.950	17.558	16.889	16.560	16.412		1	00.654	54.08902	88.57020				
195.73571	28.07041	007760	002	16.985	15.425	14.719	14.379	14.131		1	00.657	53.87989	87.28261				
195.02614	27.30070	007870	003	17.893	16.105	15.406	15.063	14.846		1	00.669	38.54111	88.06551				
194.56276	28.52179	006906	002	18.179	17.014	16.576	16.382	16.338		1	00.674	76.09906	87.94798				
194.46150	27.49087	007351	006	19.960	18.287	17.523	17.165	16.871		1	00.676	47.59034	88.53109				
194.26894	27.77302	007533	003	17.698	16.316	15.657	15.297	15.060		1	00.676	60.52658	88.59284				
194.50315	27.45399	007679	005	18.892	17.240	16.507	16.138	15.842		1	00.678	45.87920	88.50343				
195.12848	27.30017	007687	035	18.884	18.348	17.637	17.392	17.229		1	00.679	38.32000	87.97489				
195.54643	28.45662	006140	013	19.625	17.542	16.842	16.508	16.291		1	00.685	62.75188	87.27714				
194.63805	27.36437	006963	003	17.320	15.692	14.932	14.598	14.337		1	00.685	41.83139	88.40125				
195.09956	27.28691	007267	026	19.636	18.389	17.666	17.407	17.103		1	00.688	37.99685	88.00149				
194.22141	27.92950	006118	002	17.740	15.971	15.176	14.759	14.485		1	00.689	66.80688	88.55067				
194.33165	27.61380	007763	008	18.937	17.495	16.885	16.640	16.394		1	00.690	53.64413	88.60540				
195.46283	27.41182	006062	028	18.911	18.146	17.684	17.241	17.403		1	00.692	40.51366	87.66873				
194.52528	27.41894	005762	006	18.329	16.848	16.155	15.835	15.552		1	00.693	44.42046	88.49114				
194.48630	27.44261	007699	002	19.015	17.729	17.272	17.073	16.768		1	00.696	45.57077	88.52042				
194.31994	27.61846	007243	002	17.971	16.211	15.413	15.020	14.753		1	00.697	53.97200	88.61353				
194.37748	27.54303	007651	005	19.373	17.631	16.875	16.499	16.212		1	00.697	50.37678	88.58918				
194.47474	28.49981	007302	002	17.531	15.931	15.177	14.807	14.553		1	00.704	77.13837	88.01960				
195.11609	27.27177	007755	009	19.944	18.371	17.723	17.362	17.111		1	00.705	37.53726	87.98784				
195.77165	27.78413	007669	002	17.721	16.141	15.401	15.032	14.783		1	00.706	47.84179	87.33399				
195.15476	28.66414	007076	002	18.677	17.494	16.900	16.648	16.523		1	00.708	70.59500	87.45571				
194.27044	27.67738	007820	009	19.724	18.103	17.454	17.109	16.994		1	00.709	56.92704	88.63230				
194.35768	27.54613	005567	002	17.198	15.457	14.684	14.276	14.025		1	00.709	50.70658	88.60507				
194.34822	27.54994	006037	010	19.333	17.639	17.007	16.640	16.409		1	00.714	50.95867	88.61196				
195.67002	28.37131	007412	003	16.834	15.136	14.413	13.988	13.752		1	00.714	60.13550	87.21951				
194.39940	27.49324	007311	002	16.805	14.806	13.980	13.554	13.315		1	00.714	48.22035	88.58390				
195.06513	27.25666	007129	027	19.623	18.246	17.656	17.296	17.114		1	00.715	37.18026	88.03396				
194.27728	28.29661	006748	018	18.484	17.565	16.907	16.612	16.208		1	00.717	76.20825	88.28524				
194.40057	27.48482	007234	002	17.798	15.923	15.128	14.704	14.478		1	00.719	47.87977	88.58499				
194.19113	28.05162	006919	003	17.733	16.513	15.793	15.432	15.161		1	00.719	71.27731	88.50151				
195.81768	28.03042	006091	002	16.410	14.729	14.046	13.690	13.461		1	00.724	52.59948	87.22718				
194.21822	28.18811	006485	029	20.231	18.172	17.483	17.177	17.176		1	00.724	74.61471	88.39639				
194.26079	27.65669	006794	006	18.947	17.485	16.787	16.463	16.244		1	00.725	56.26537	88.64825				
195.74767	28.27536	007167	004	18.861	17.363	16.634	16.280	15.984		1	00.726	57.75903	87.19748				
194.17858	28.02045	006255	002	16.314	14.706	13.883	13.472	13.248		1	00.728	70.58094	88.52924				
195.55895	28.50710	006794	029	21.195	18.634	17.736	17.542	17.332		1	00.729	63.56427	87.24306				
195.63320	28.43933	005965	006	18.155	16.516	15.757	15.383	15.262		1	00.729	61.68778	87.21791				
194.36455	28.43969	007772	004	18.170	17.141	16.586	16.262	15.989		1	00.732	77.84446	88.13111				
195.44991	27.35482	006055	011	18.902	17.747	17.099	16.843	16.520		1	00.732	39.14232	87.68582				
194.44062	27.42934	008337	005	18.233	16.774	16.177	15.866	15.583		1	00.733	45.38648	88.56282				
195.80264	28.17250	007271	005	18.232	16.913	16.216	15.925	15.693		1	00.736	55.43893	87.19172				
194.87549	28.70014	007099	007	19.069	17.810	17.068	16.719	16.406		1	00.739	74.82419	87.62430				
194.19941	28.19212	005819	009	19.737	18.396	17.745	17.377	17.127		1	00.741	75.11494	88.40619				
194.39119	28.48226	006257	002	16.100	14.155	13.332	12.959	12.734		1	00.743	78.26893	88.08459				
194.35151	27.49782	007338	002	15.817	13.570	12.585	12.130	12.069		1	00.743	48.85054	88.62378				
194.38314	28.47694	006765	002	15.190	13.393	12.516	12.131	11.885		1	00.744	78.30452	88.09336				
195.84487	27.93598	006024	002	17.437	15.811	15.082	14.735	14.444		1	00.746	50.58599	87.23232				
194.16188	28.08115	008108	004	18.448	16.522	15.756	15.375	15.189		1	00.749	72.77640	88.50334				
194.34551	27.49296	008239	003	16.709	14.985	13.836	13.330	13.834		1	00.750	48.71289	88.63018				
194.15376	27.88489	006315	010	19.155	17.914	17.219	16.944	16.541		1	00.753	66.61877	88.62512				
194.16002	28.10628	006476	009	19.452	17.354	16.677	16.381	16.285		1	00.754	73.55367	88.48858				
195.85554	28.01401	007957	003	17.352	15.656	14.953	14.608	14.281		1	00.756	52.06573	87.20048				
194.57761	27.31082	007411	002	17.296	16.399	15.954	15.705	15.488		1	00.758	40.13849	88.46128				
194.32384	28.43882	006907	013	20.404	18.376	17.643	17.335	17.039		1	00.759	78.60146	88.15721				
194.34045	27.47485	006945	006	20.475	18.588	17.556	17.126	17.236		1	00.766	48.02589	88.63914				
195.29469	27.24649	006179	010	18.405	17.038	16.361	16.098	15.744		1	00.768	36.61220	87.83065				
194.64722	27.26469	007356	001	16.538	15.515	15.231	15.089	14.957		1	00.771	38.24436	88.40408				
194.12423	27.94000	006634	002	16.715	15.142	14.382	13.975	13.716		1	00.775	69.12024	88.61557				
194.16809	28.21776	008311	002	18.733	17.481	17.010	16.759	16.631		1	00.775	76.46591	88.40939				
194.35439	28.49590	007179	012	19.519	17.403	16.692	16.343	16.721		1	00.776	79.24594	88.09775				
194.21170	27.62785	008088	007	19.060	17.759	17.117	16.814	16.735		1	00.777	55.83252	88.69947				
195.64658	27.43944	005414	005	17.436	16.306	15.731	15.394	15.341		1	00.780	40.72997	87.50356				
194.78567	28.72822	007095	010	18.304	16.996	16.330	16.022	15.891		1	00.782	76.61200	87.66423				
194.26810	27.52594	008305	006	18.314	16.900	16.180	15.798	15.559		1	00.785	50.88416	88.68692				
195.88014	28.09232	006330	005	18.289	16.515	15.800	15.452	15.248		1	00.786	53.43535	87.15513				
194.11860	28.08254	006975	004	18.503	16.833	16.145	15.811	15.602		1	00.787	73.76142	88.53181				
195.65897	28.50191	005761	008	18.230	16.987	16.351	16.091	15.901		1	00.787	62.60054	87.16859				
194.14971	27.71884	006722	008	18.884	17.262	16.570	16.245	16.047		1	00.793	60.50764	88.71146				
195.44927	28.66021	008610	014	18.979	17.820	17.135	16.799	16.771		1	00.796	67.32705	87.24589				
194.11094	27.83065	006268	002	16.796	15.115	14.342	13.987	13.703		1	00.798	65.53858	88.68622				
195.63575	27.39349	005457	002	18.333	17.420	17.122	16.968	16.875		1	00.805	39.70097	87.51793				
194.28925	27.46640	007449	002	16.861	14.984	14.161	13.741	13.407		1	00.806	48.16248	88.68523				
195.90241	28.09797	006171	015	20.417	18.367	17.670	17.372	17.157		1	00.806	53.41356	87.13471				
194.14237	27.68735	006879	003	18.759	17.116	16.341	15.971	15.702		1	00.810	59.37334	88.73129				
194.45735	28.62427	007494	002	19.011	17.788	17.345	17.162	16.955		1	00.811	79.94865	87.94261				
195.71353	28.48245	007066	007	18.970	17.522	16.770	16.401	16.226		1	00.811	61.80223	87.13536				
194.08493	28.05082	007605	011	19.520	17.826	17.133	16.768	16.582		1	00.813	73.55996	88.57498				
194.14666	28.27545	007295	002	17.406	15.661	14.910	14.526	14.255		1	00.813	78.41881	88.38298				
195.83981	28.30904	005523	003	18.086	16.395	15.692	15.344	15.114		1	00.814	57.73112	87.10964				
195.52299	27.29727	007278	004	18.502	16.767	16.071	15.721	15.508		1	00.816	37.62171	87.62533				
194.58064	28.69853	005787	008	18.466	17.265	16.625	16.330	16.094		1	00.818	79.24673	87.81399				
195.89985	28.16697	006618	006	19.354	17.698	17.029	16.726	16.529		1	00.818	54.72334	87.11355				
194.10959	27.72726	006824	002	18.175	16.323	15.527	15.136	14.837		1	00.824	61.58111	88.73906				
194.81836	27.15807	006691	002	17.692	16.056	15.335	14.994	14.722		1	00.827	34.35871	88.25662				
195.87512	28.27471	006411	007	18.856	17.201	16.530	16.214	15.992		1	00.830	56.86591	87.09441				
195.89041	28.23943	008216	008	18.864	17.542	16.984	16.751	16.566		1	00.830	56.12100	87.09525				
195.94282	27.98693	006179	005	19.624	17.403	16.781	16.507	16.402		1	00.832	51.08022	87.13489				
195.93727	28.08423	005625	002	16.955	15.112	14.353	13.969	13.723		1	00.835	52.95676	87.11004				
194.08246	27.75103	006887	002	17.195	15.283	14.455	14.045	13.788		1	00.841	63.05914	88.74864				
194.17664	27.54826	007590	005	18.817	17.376	16.746	16.429	16.203		1	00.842	52.98003	88.75686				
194.29483	27.40490	006199	002	17.172	15.596	14.901	14.549	14.361		1	00.842	45.49433	88.69450				
194.16022	27.57094	007606	011	19.346	18.082	17.437	17.104	17.023		1	00.844	54.19502	88.76276				
194.53846	28.70859	007605	003	16.427	15.110	14.472	14.105	13.900		1	00.844	80.13106	87.83248				
194.60542	27.19999	008043	003	18.322	16.989	16.345	16.033	15.893		1	00.845	35.97448	88.44499				
194.05942	27.81559	006662	005	19.537	18.039	17.336	17.020	16.805		1	00.846	66.05439	88.73278				
194.23307	27.46239	007612	008	19.230	17.851	17.215	16.810	16.637		1	00.848	48.55523	88.73446				
195.96165	27.98838	006349	002	16.836	15.022	14.260	13.875	13.634		1	00.849	51.01270	87.11855				
194.65533	27.17660	007665	001	16.321	15.356	14.998	14.805	14.709		1	00.850	35.07465	88.40134				
194.39456	27.31030	007448	008	19.175	17.673	16.949	16.589	16.368		1	00.850	40.87872	88.62284				
195.96040	28.05442	006289	004	18.328	16.709	16.111	15.815	15.699		1	00.852	52.26967	87.09999				
195.25136	28.79216	007973	026	18.623	17.956	17.335	17.181	17.234		1	00.852	71.71103	87.31089				
194.04126	27.84425	007571	002	16.988	15.304	14.479	14.104	13.861		1	00.857	67.53489	88.73046				
195.49725	28.70948	006065	011	19.587	18.065	17.387	17.090	16.849		1	00.860	67.69767	87.18364				
195.05836	28.82817	007337	002	16.163	14.861	14.095	13.724	13.520		1	00.860	74.64203	87.41930				
194.04574	28.16317	008693	002	17.647	16.219	15.530	15.137	14.834		1	00.865	77.76871	88.52513				
195.79100	28.48962	005390	007	18.975	17.636	16.971	16.678	16.510		1	00.869	61.31086	87.07155				
194.48073	27.23202	006480	008	19.526	18.012	17.376	17.074	16.888		1	00.869	37.41732	88.55406				
195.23006	27.12159	006440	028	19.568	18.112	17.545	17.326	17.239		1	00.872	33.29152	87.89017				
195.95812	28.18573	006965	002	15.139	13.487	12.764	12.409	12.177		1	00.872	54.71771	87.05886				
195.96016	28.17864	006383	007	19.527	17.479	16.732	16.397	16.318		1	00.872	54.57593	87.05963				
194.14247	27.53895	007091	002	17.031	15.394	14.568	14.150	13.846		1	00.873	53.04200	88.78853				
194.01142	28.04797	007397	006	19.182	17.375	16.691	16.385	16.441		1	00.877	75.21102	88.62588				
194.81948	27.10614	008380	002	18.058	16.744	16.031	15.645	15.328		1	00.878	32.65256	88.25533				
195.63644	27.29556	007607	005	18.153	16.530	15.831	15.516	15.240		1	00.878	37.44189	87.52478				
194.00648	28.03836	005934	005	16.947	15.846	15.153	14.912	15.294		1	00.880	75.03183	88.63553				
193.99900	27.95508	008096	003	17.872	16.533	15.880	15.560	15.424		1	00.885	72.48878	88.69444				
194.25709	27.37209	007002	003	17.620	15.999	15.227	14.850	14.598		1	00.889	44.35449	88.73381				
195.97864	28.18765	006870	002	18.032	16.030	15.288	14.967	14.761		1	00.890	54.63078	87.04123				
194.28195	27.34055	007295	007	19.538	18.132	17.421	17.028	16.732		1	00.895	42.78547	88.71754				
193.98941	27.90493	006575	004	18.246	16.657	15.923	15.574	15.342		1	00.896	70.96912	88.73216				
194.19907	27.42099	007770	003	17.926	16.414	15.724	15.398	15.141		1	00.897	47.05123	88.77389				
194.17058	27.44775	007331	010	19.432	18.147	17.463	17.185	16.807		1	00.901	48.56560	88.79181				
195.10686	28.86782	006769	002	16.324	14.957	14.217	13.846	13.578		1	00.903	74.69398	87.36123				
194.09736	27.54404	007334	009	19.802	18.284	17.620	17.301	17.055		1	00.905	53.92762	88.82438				
196.01980	27.85052	006381	004	18.465	17.066	16.370	16.029	15.801		1	00.908	48.10482	87.10505				
193.99978	28.18695	005598	002	18.063	16.377	15.642	15.268	15.009		1	00.909	79.54362	88.53682				
195.07976	28.87815	007383	030	18.927	18.172	17.270	17.190	16.662		1	00.911	75.20243	87.37238				
196.03318	27.96496	005937	003	17.653	15.669	14.978	14.606	14.322		1	00.912	50.22151	87.06444				
194.03977	28.31088	007910	003	17.454	16.247	15.509	15.180	14.976		1	00.914	81.74487	88.42196				
194.65151	27.10414	007942	002	16.814	14.944	14.176	13.832	13.547		1	00.919	32.47438	88.40477				
194.02686	27.64805	007603	003	17.716	16.108	15.433	15.099	14.891		1	00.919	59.83244	88.84045				
195.97679	28.31054	008019	001	18.613	17.059	16.748	16.971	17.650		1	00.926	56.84357	86.99799				
193.95418	27.90587	006933	002	17.504	15.811	15.029	14.649	14.389		1	00.927	71.87705	88.75612				
195.79057	28.58352	006844	002	16.704	15.010	14.226	13.857	13.579		1	00.928	62.92792	87.02806				
194.00802	27.66468	006197	030	18.792	17.936	17.477	17.173	17.149		1	00.929	60.94206	88.84780				
194.91298	28.89552	006113	003	16.308	14.460	13.616	13.198	12.906		1	00.929	77.67930	87.46832				
195.80697	27.36908	006376	003	17.556	16.126	15.403	15.043	14.733		1	00.933	38.85668	87.36862				
195.01911	27.03247	006958	009	18.421	17.388	16.663	16.357	16.200		1	00.937	30.57223	88.07477				
194.23573	28.62336	006552	002	17.091	15.487	14.726	14.369	14.101		1	00.939	84.11668	88.07252				
195.31567	28.87218	007129	005	18.600	16.865	16.149	15.824	15.588		1	00.944	72.30748	87.21726				
194.62608	28.85885	007988	003	17.126	15.879	15.071	14.728	14.511		1	00.949	81.31273	87.67021				
193.95534	27.75188	007249	012	19.431	18.299	17.584	17.273	17.331		1	00.949	65.85226	88.84467				
194.06096	27.50630	007430	003	18.408	16.818	16.059	15.712	15.385		1	00.952	52.70841	88.86755				
193.93908	27.79629	006876	012	19.393	17.924	17.260	17.005	16.726		1	00.954	68.07057	88.83214				
194.09079	28.48692	006598	004	18.208	16.486	15.754	15.346	15.335		1	00.954	84.50156	88.25872				
196.04228	28.24796	005935	002	16.739	15.083	14.290	13.902	13.600		1	00.960	55.33382	86.96753				
194.91577	28.92657	006023	002	16.523	14.704	14.001	13.570	13.347		1	00.960	78.14427	87.44499				
195.64804	28.74524	006114	007	18.118	16.881	16.165	15.885	15.650		1	00.963	66.85826	87.05332				
194.56491	27.08722	007719	010	18.764	17.219	16.523	16.207	16.060		1	00.963	31.77238	88.48137				
193.98458	27.60978	006816	010	18.336	17.250	16.580	16.236	16.050		1	00.968	58.92073	88.89087				
193.94928	28.25610	008097	003	18.148	16.161	15.338	14.898	14.602		1	00.971	82.63406	88.51570				
193.93447	27.71659	007159	005	19.123	17.290	16.522	16.163	15.863		1	00.976	64.83573	88.87901				
194.06957	27.44598	006403	002	17.547	15.877	15.096	14.729	14.460		1	00.976	49.66813	88.87862				
195.83252	28.61727	005960	004	18.475	16.815	16.065	15.753	15.495		1	00.978	63.15542	86.97954				
194.68006	28.91006	008344	003	16.964	15.538	14.957	14.659	14.590		1	00.982	81.30564	87.60053				
194.19753	27.29228	007845	009	18.643	17.023	16.373	15.950	15.685		1	00.982	41.08582	88.79878				
194.01499	28.43477	006827	002	18.075	16.455	15.785	15.455	15.210		1	00.985	85.15748	88.34108				
195.13003	28.95054	006977	002	19.121	17.188	16.753	16.580	16.483		1	00.988	75.74122	87.29146				
193.89197	27.84166	006997	002	17.970	16.264	15.494	15.123	14.854		1	00.988	71.08319	88.83901				
193.99332	28.40737	006004	008	18.351	17.082	16.416	16.170	16.129		1	00.990	85.08592	88.37439				
193.89875	27.76714	006700	004	17.959	16.428	15.733	15.385	15.192		1	00.995	67.88197	88.87806				
194.95524	26.97433	007046	002	18.293	17.142	16.774	16.535	16.477		1	00.996	28.69476	88.12720				
195.84769	27.30695	005562	001	18.719	17.699	17.334	17.188	16.846		1	01.001	37.46172	87.33672				
193.86739	27.94969	006233	007	18.774	17.495	16.865	16.547	16.378		1	01.001	75.75112	88.78614				
194.66124	27.01325	007016	002	18.393	17.382	16.946	16.760	16.697		1	01.002	29.24231	88.39153				
195.93683	28.54591	007734	004	18.336	16.892	16.133	15.793	15.548		1	01.006	61.16214	86.93181				
194.61289	27.02347	007541	001	18.525	17.696	17.332	17.205	17.144		1	01.006	29.49170	88.43526				
195.00496	26.95611	007169	008	18.858	17.492	16.969	16.656	16.606		1	01.013	28.27280	88.08137				
196.05780	27.56009	006935	015	19.453	18.252	17.636	17.274	17.197		1	01.021	42.30748	87.12651				
193.85438	27.79803	007366	002	16.399	14.652	13.861	13.447	13.182		1	01.028	70.34859	88.89190				
194.62849	26.99494	007453	001	18.388	17.763	17.545	17.481	18.236		1	01.029	28.49765	88.41905				
195.51845	28.89458	008111	002	17.364	15.652	14.867	14.486	14.194		1	01.031	70.50954	87.06239				
194.76934	26.95819	008094	009	19.017	17.395	16.800	16.362	16.564		1	01.032	27.65749	88.29050				
194.11906	27.29128	007516	002	16.377	15.331	14.893	14.491	14.433		1	01.034	41.50005	88.86801				
193.82965	27.92507	006457	013	19.059	17.932	17.256	17.050	16.901		1	01.035	75.95999	88.82736				
195.60688	28.85807	006696	001	17.624	16.882	16.636	16.516	16.416		1	01.036	69.06118	87.02066				
193.83333	27.86669	006973	004	17.369	15.769	15.064	14.703	14.527		1	01.037	73.68096	88.86357				
194.48608	27.03751	007410	003	17.652	16.096	15.352	14.991	14.755		1	01.038	29.71721	88.54893				
196.13063	28.30193	007872	001	18.449	17.724	17.499	17.359	17.275		1	01.051	55.74955	86.87551				
193.86580	27.65613	007017	002	16.664	14.796	13.978	13.640	13.360		1	01.051	63.73755	88.96223				
196.06861	27.50639	007055	010	18.587	17.335	16.677	16.329	16.111		1	01.053	41.22109	87.12388				
194.55554	28.94811	007661	002	16.576	14.850	14.101	13.740	13.466		1	01.054	83.88696	87.64362				
196.15375	28.25052	005619	004	18.758	17.146	16.474	16.142	15.903		1	01.055	54.73528	86.87471				
195.16480	29.01942	007268	003	16.496	14.334	13.697	13.357	13.110		1	01.060	76.38424	87.22274				
194.61602	28.97414	007135	002	17.546	15.948	15.221	14.860	14.608		1	01.060	83.31773	87.58961				
194.14433	27.22756	007189	003	17.261	15.940	15.370	15.082	14.949		1	01.061	38.19082	88.85271				
194.29982	27.10334	007346	005	18.346	16.854	16.148	15.816	15.599		1	01.066	32.14705	88.71774				
196.17365	28.22754	007205	008	18.929	17.851	17.179	16.899	16.765		1	01.066	54.22987	86.86611				
195.01470	26.89812	005925	002	15.660	14.116	13.379	12.984	12.732		1	01.071	26.58766	88.06619				
196.07677	28.46814	007726	004	17.241	15.842	15.123	14.821	14.598		1	01.071	58.88695	86.85455				
193.83719	27.66915	007105	008	18.998	17.873	17.064	16.719	16.517		1	01.072	65.08443	88.97724				
193.86073	27.60403	006780	006	18.730	17.434	16.722	16.351	16.080		1	01.073	61.31109	88.99152				
194.18133	27.17880	007587	002	15.663	13.802	12.961	12.568	12.333		1	01.073	35.69437	88.82276				
194.40226	27.03137	007352	002	17.344	15.619	14.825	14.436	14.212		1	01.078	29.24904	88.62295				
196.18055	28.25157	006566	009	18.820	17.586	17.022	16.763	16.710		1	01.078	54.60430	86.85219				
193.87758	27.54427	007024	002	17.578	16.038	15.325	14.971	14.794		1	01.081	57.86711	89.00451				
193.81555	28.25194	006322	020	24.666	18.325	17.686	17.350	17.174		1	01.083	86.15904	88.59312				
194.09900	27.23400	006052	008	19.445	17.333	16.676	16.406	16.383		1	01.086	38.69305	88.89231				
193.80778	27.70890	006674	004	18.649	16.874	16.130	15.792	15.639		1	01.086	67.74716	88.97740				
193.77081	28.06253	006267	006	19.880	18.228	17.587	17.236	17.019		1	01.090	82.29962	88.76503				
196.05470	28.54245	008114	001	18.167	17.563	17.331	17.244	17.695		1	01.091	60.26004	86.84053				
193.87127	27.52143	006976	002	16.014	14.174	13.372	12.986	12.744		1	01.095	56.78831	89.01889				
195.43325	28.99955	006422	003	17.640	15.644	14.910	14.570	14.312		1	01.098	73.01806	87.05741				
196.06571	28.54538	008351	003	19.093	18.097	17.498	17.273	17.333		1	01.101	60.23152	86.83054				
196.20570	28.26945	006807	005	17.877	16.371	15.674	15.363	15.075		1	01.104	54.76984	86.82523				
194.01753	27.28554	006703	002	19.115	17.950	17.386	17.150	17.056		1	01.107	41.87942	88.95814				
195.84415	28.79653	007897	008	19.293	18.139	17.424	17.172	17.167		1	01.111	65.95189	86.88045				
195.19818	29.06725	007491	024	28.606	17.754	17.111	17.012	17.105		1	01.112	76.70172	87.16890				
194.58449	26.92065	006911	007	19.035	17.701	17.185	16.971	16.804		1	01.112	25.63040	88.44939				
194.33954	27.02300	008009	006	18.563	16.989	16.291	15.963	15.868		1	01.113	28.70275	88.67796				
195.33367	26.88675	008077	010	19.058	17.657	17.101	16.810	16.725		1	01.122	27.24259	87.78248				
194.20690	27.09392	006919	003	16.997	15.390	14.567	14.162	13.855		1	01.123	31.59942	88.80014				
194.49424	26.93927	007621	032	18.946	18.176	17.661	17.411	17.266		1	01.124	25.90932	88.53166				
193.73162	28.06686	006303	010	19.741	18.142	17.493	17.174	16.908		1	01.125	83.66288	88.78413				
193.73652	28.12626	006304	004	18.852	16.979	16.259	15.909	15.631		1	01.127	85.23034	88.73517				
194.52341	29.01737	007697	010	18.671	16.981	16.406	16.180	15.988		1	01.129	85.46699	87.60753				
193.84404	28.46790	007020	002	16.921	15.368	14.711	14.385	14.179		1	01.135	90.13142	88.40215				
194.51320	26.91598	008208	002	16.979	15.356	14.595	14.235	13.987		1	01.139	25.10886	88.51161				
195.43072	29.04467	007114	003	16.341	14.368	13.691	13.335	13.065		1	01.140	73.72296	87.03059				
194.34551	26.98776	008346	018	18.231	17.232	16.843	16.484	16.813		1	01.141	27.21038	88.66919				
194.52854	29.03458	007267	012	18.680	16.961	16.426	16.156	16.169		1	01.143	85.63668	87.59123				
193.86236	27.42251	007183	006	19.724	18.059	17.326	16.981	16.725		1	01.147	51.43027	89.06132				
194.43215	29.00321	006919	001	18.677	17.620	17.358	17.333	17.171		1	01.148	86.79229	87.66742				
194.97640	26.81997	008016	005	17.838	16.349	15.780	15.515	15.331		1	01.150	24.13279	88.08838				
194.32730	26.97958	007299	009	19.538	18.192	17.657	17.324	17.232		1	01.156	26.77761	88.68437				
194.19586	27.05693	006497	029	18.984	18.232	17.649	17.428	17.257		1	01.158	29.80580	88.80813				
193.74070	28.30843	006310	003	17.546	16.094	15.398	15.031	14.765		1	01.162	89.67130	88.58532				
196.30213	28.15244	006514	003	18.360	16.795	16.090	15.747	15.480		1	01.163	52.28863	86.78302				
194.43380	29.02038	007920	007	18.016	16.285	15.698	15.482	15.414		1	01.163	87.01571	87.65280				
195.84643	28.86418	006568	003	17.906	16.373	15.629	15.268	15.049		1	01.164	66.97888	86.84278				
193.67443	28.04596	007664	007	18.227	17.096	16.440	16.133	16.079		1	01.173	84.91484	88.83215				
194.75762	26.81567	007154	002	16.045	14.263	13.452	13.038	12.758		1	01.174	22.89454	88.27971				
195.44613	29.07670	006928	003	19.173	17.603	17.444	17.390	22.817		1	01.175	74.03068	86.99975				
194.27914	28.95837	008237	021	20.038	18.081	17.295	17.236	16.665		1	01.175	88.86592	87.78211				
193.85219	28.57125	007689	007	19.256	18.130	17.634	17.461	17.341		1	01.177	91.85172	88.31104				
194.84210	26.79711	006448	006	18.798	17.374	16.802	16.557	16.419		1	01.181	22.76884	88.20215				
194.18133	27.03476	005611	002	17.783	16.250	15.529	15.194	14.974		1	01.184	28.69115	88.81938				
194.21090	28.92984	008093	002	16.619	15.110	14.470	14.122	13.882		1	01.185	89.73691	87.83932				
195.27835	26.80949	006873	007	19.027	17.708	17.076	16.787	16.510		1	01.186	25.07087	87.82077				
196.11063	27.30431	005507	002	16.216	15.315	15.097	14.971	14.759		1	01.187	37.15930	87.10352				
194.32910	26.93764	007662	015	19.171	18.246	17.557	17.262	17.142		1	01.191	24.98176	88.67715				
194.50993	26.85953	007352	002	16.696	15.198	14.363	13.950	13.659		1	01.192	22.95214	88.50502				
194.13351	27.05559	006118	002	17.319	15.642	14.889	14.503	14.283		1	01.194	29.55673	88.86344				
193.92208	27.25076	007090	002	16.466	14.606	13.762	13.329	13.103		1	01.196	40.55964	89.04691				
194.01656	27.15044	007345	005	18.699	17.191	16.434	16.083	15.860		1	01.197	34.43027	88.97008				
196.26377	27.53706	006506	011	18.326	17.000	16.470	16.179	16.024		1	01.198	41.40988	86.94838				
193.75349	27.48338	006959	003	17.979	16.606	15.951	15.646	15.409		1	01.206	57.22334	89.12985				
196.14901	28.62773	006705	002	17.018	15.920	15.524	15.328	15.140		1	01.207	60.97345	86.72859				
195.39000	29.13060	007354	003	16.028	14.247	13.370	12.929	12.625		1	01.211	75.42288	87.00193				
195.34061	26.79659	008502	002	19.243	18.123	17.766	17.615	17.764		1	01.211	24.96642	87.76387				
193.72369	28.41698	007378	003	16.579	15.033	14.348	13.967	13.708		1	01.211	92.44988	88.50151				
194.57599	29.12880	007892	002	16.683	15.035	14.341	13.984	13.783		1	01.218	86.21909	87.49137				
196.30163	27.56976	006884	002	15.430	13.691	12.895	12.500	12.273		1	01.219	41.93741	86.91099				
193.65596	27.69201	008442	003	18.625	16.983	16.253	15.902	15.621		1	01.221	71.68097	89.09570				
193.93456	28.75464	008236	001	17.886	17.210	16.991	17.164	18.649		1	01.223	92.89883	88.11664				
196.34547	27.67874	006822	026	19.843	18.448	17.724	17.408	17.332		1	01.224	43.81722	86.85673				
196.28525	27.51282	007158	004	17.586	16.385	15.657	15.342	15.108		1	01.225	40.91740	86.93227				
194.42931	26.85240	006371	002	17.038	15.286	14.551	14.221	13.995		1	01.227	22.13332	88.57422				
193.85188	27.28048	006517	022	19.928	18.266	17.651	17.433	17.309		1	01.229	42.94425	89.10435				
193.71395	27.49448	007013	019	19.786	18.324	17.755	17.418	17.224		1	01.234	58.87905	89.15707				
195.92589	28.90551	006691	003	17.712	16.004	15.264	14.902	14.631		1	01.240	66.93105	86.76190				
194.29748	29.04507	007481	002	16.141	14.426	13.685	13.287	13.051		1	01.241	89.76911	87.70144				
194.66646	26.75954	007451	001	17.226	16.452	16.281	16.179	16.373		1	01.246	20.44978	88.34753				
195.66120	29.07561	006695	028	18.696	18.283	17.631	17.302	16.992		1	01.249	71.82140	86.85376				
193.63828	27.63276	007311	003	17.167	15.555	14.712	14.231	13.931		1	01.251	69.22243	89.14398				
194.52950	26.78714	007206	003	18.641	17.307	16.650	16.325	16.041		1	01.254	20.40457	88.47287				
