ra_1	dec_1	cz	ecz	zref	sigma	esigma	d4000	ra_2	dec_2	z	ez	u	g	r	i	zm	id1	id2	id3
226.991334	+05.475454	23234	5	SDSS	225	6	1.99	226.991330	5.475458	0.077502	0.000018	19.758	17.515	16.603	16.136	15.810	00	-1	-1
226.976355	+05.489558	23172	9	SDSS	125	11	1.68	226.976330	5.489570	0.077294	0.000031	20.402	18.199	17.323	16.945	16.600	00	-1	-1
226.923687	+05.836497	24193	7	SDSS	0.97	0	DR9	226.923690	5.836498	0.080702	0.000025	18.535	18.083	17.776	17.203	17.315	00	-1	-1
227.544185	+04.892877	23540	4	SDSS	61	11	1.28	227.544180	4.892883	0.078523	0.000016	20.436	18.576	17.780	17.315	17.154	00	-1	-1
227.784506	+04.854645	23073	4	SDSS	0.99	0	DR9	227.784500	4.854651	0.076965	0.000016	17.197	16.650	16.443	15.989	16.012	00	-1	-1
227.684636	+04.889406	23555	5	SDSS	139	6	1.89	227.684650	4.889398	0.078572	0.000020	19.486	17.540	16.648	16.222	15.849	00	-1	-1
227.699012	+04.873571	23629	6	SDSS	193	7	1.87	227.699020	4.873563	0.078819	0.000021	19.772	17.788	16.887	16.472	16.201	00	-1	-1
227.717529	+04.867702	24174	5	SDSS	283	6	1.91	227.717530	4.867698	0.080637	0.000017	17.655	15.761	14.875	14.435	14.166	00	-1	-1
227.720437	+04.851026	23791	5	SDSS	175	6	2.01	227.720440	4.851021	0.079360	0.000017	19.572	17.354	16.448	16.057	15.741	00	-1	-1
226.970940	+05.376592	23153	3	SDSS	125	12	1.67	226.970940	5.376588	0.077230	0.000012	18.728	17.414	16.632	16.256	15.980	00	-1	-1
227.148894	+05.156360	22812	6	SDSS	133	6	2.06	227.148890	5.156361	0.076093	0.000020	18.292	16.623	15.737	15.384	14.986	00	-1	-1
228.598561	+05.481278	23921	2	SDSS	89	14	1.39	228.598530	5.481258	0.079795	0.000009	18.081	17.062	16.487	16.139	16.034	00	-1	-1
227.211005	+05.099822	23262	2	SDSS	88	18	1.41	227.211000	5.099827	0.077595	0.000009	19.546	18.219	17.666	17.382	17.276	00	-1	-1
227.577525	+04.933296	23968	6	SDSS	97	8	1.68	227.577530	4.933307	0.079951	0.000023	18.219	17.257	16.503	16.149	15.945	00	-1	-1
227.909313	+04.876528	24200	3	SDSS	70	10	1.40	227.909320	4.876540	0.080724	0.000011	19.991	18.331	17.472	17.101	16.779	00	-1	-1
228.257297	+05.040300	23914	2	SDSS	27	21	1.22	228.257310	5.040310	0.079769	0.000008	18.720	17.672	17.338	17.028	17.138	00	-1	-1
226.872621	+05.978568	24076	3	SDSS	7	*	1.33	226.872610	5.978571	0.080312	0.000010	18.605	17.855	17.505	17.228	17.189	00	-1	-1
228.597963	+05.714648	23283	5	SDSS	150	6	1.89	228.597970	5.714649	0.077667	0.000018	19.800	18.120	17.236	16.828	16.517	00	-1	-1
228.478947	+06.259962	23729	2	SDSS	89	8	1.17	228.478920	6.260030	0.079154	0.000007	17.277	16.311	15.960	15.657	15.592	00	-1	-1
228.026742	+06.614291	23146	7	SDSS	97	7	1.88	228.026750	6.614298	0.077208	0.000025	20.273	18.453	17.664	17.296	16.906	00	-1	-1
227.637849	+04.799701	23206	4	SDSS	234	5	1.94	227.637870	4.799692	0.077408	0.000015	17.713	15.770	15.005	14.436	14.225	00	-1	-1
227.639152	+04.832921	23884	1	SDSS	97	23	1.09	227.639170	4.832914	0.079670	0.000006	19.138	18.259	18.060	17.794	17.817	00	-1	-1
227.729553	+04.835453	23759	9	SDSS	77	9	1.91	227.729560	4.835449	0.079253	0.000033	20.029	18.470	17.655	17.308	16.932	00	-1	-1
227.742482	+04.813418	22993	5	SDSS	190	7	1.97	227.742480	4.813416	0.076699	0.000019	18.661	16.639	15.711	15.253	14.896	00	-1	-1
227.765057	+04.801940	23460	5	SDSS	147	6	1.88	227.765050	4.801942	0.078257	0.000019	19.661	17.846	16.981	16.591	16.239	00	-1	-1
227.772090	+04.835821	24251	5	SDSS	171	6	1.88	227.772080	4.835824	0.080894	0.000017	18.937	17.452	16.569	16.189	15.864	00	-1	-1
227.796936	+04.798317	23493	4	SDSS	234	5	2.03	227.796920	4.798326	0.078368	0.000015	19.032	17.346	16.455	16.048	15.699	00	-1	-1
226.818662	+05.611257	23887	5	SDSS	122	8	1.44	226.818650	5.611267	0.079679	0.000018	19.298	17.567	16.749	16.322	16.046	00	-1	-1
226.993716	+06.291631	23757	2	SDSS	71	15	1.19	226.993720	6.291634	0.079246	0.000007	18.430	17.430	17.068	16.787	16.732	00	-1	-1
227.013699	+06.342623	23827	3	SDSS	77	11	1.52	227.013700	6.342627	0.079480	0.000012	19.877	18.480	17.769	17.399	17.122	00	-1	-1
227.568126	+06.691429	23499	6	SDSS	172	7	1.90	227.568130	6.691443	0.078387	0.000021	18.718	17.283	16.352	15.980	15.662	00	-1	-1
227.667242	+06.748650	23643	7	SDSS	71	9	1.60	227.667240	6.748650	0.078865	0.000024	18.419	17.255	16.588	16.226	16.062	00	-1	-1
227.706497	+06.720779	23273	7	SDSS	255	9	1.88	227.706480	6.720797	0.077631	0.000025	19.126	17.391	16.506	16.104	15.811	00	-1	-1
227.854998	+06.686904	22982	11	SDSS	100	16	1.69	227.854990	6.686918	0.076660	0.000040	20.598	18.616	17.757	17.334	16.940	00	-1	-1
228.157202	+06.601760	23237	5	SDSS	213	7	2.01	228.157210	6.601761	0.077513	0.000020	19.516	17.713	16.823	16.429	16.133	00	-1	-1
228.184153	+06.599968	23048	5	SDSS	83	8	1.56	228.184150	6.599964	0.076880	0.000017	18.177	16.965	16.305	15.969	15.870	00	-1	-1
227.568797	+04.785630	23782	7	SDSS	168	8	1.79	227.568800	4.785630	0.079329	0.000024	19.466	17.886	16.975	16.601	16.298	00	-1	-1
228.730904	+05.546223	24112	5	SDSS	188	6	1.98	228.730890	5.546222	0.080432	0.000018	18.911	16.593	15.784	15.426	15.224	00	-1	-1
228.775651	+05.566457	24151	2	SDSS	119	8	1.43	228.775640	5.566461	0.080560	0.000009	18.994	17.712	17.091	16.703	16.500	00	-1	-1
228.706472	+05.481740	23924	2	SDSS	55	13	1.31	228.706470	5.481739	0.079803	0.000008	18.271	17.336	16.828	16.575	16.451	00	-1	-1
228.740543	+05.504291	24043	2	SDSS	21	362	1.31	228.740520	5.504295	0.080201	0.000010	18.991	17.926	17.575	17.333	17.279	00	-1	-1
228.747512	+05.554903	23484	2	SDSS	120	10	1.27	228.747500	5.554905	0.078335	0.000010	18.226	16.830	16.163	15.790	15.628	00	-1	-1
226.742574	+06.098073	23084	4	SDSS	47	23	1.40	226.742580	6.098073	0.077003	0.000015	18.962	18.132	17.551	17.343	17.275	00	-1	-1
228.277894	+04.888426	23824	8	SDSS	91	8	1.81	228.277910	4.888433	0.079469	0.000028	20.129	18.455	17.625	17.279	16.927	00	-1	-1
227.135989	+06.630062	23229	8	SDSS	110	9	1.86	227.136000	6.630069	0.077486	0.000028	19.864	18.276	17.466	17.103	16.796	00	-1	-1
227.219196	+06.670189	23594	2	SDSS	63	14	1.30	227.219170	6.670196	0.078704	0.000009	19.265	18.049	17.549	17.247	17.139	00	-1	-1
227.719873	+06.757292	23103	8	SDSS	110	9	1.63	227.719860	6.757292	0.077065	0.000028	20.161	18.338	17.567	17.198	16.933	00	-1	-1
228.278742	+06.656524	23498	6	SDSS	63	12	1.49	228.278730	6.656524	0.078382	0.000020	19.183	17.519	17.115	16.769	16.813	00	-1	-1
228.366416	+06.571500	23376	4	SDSS	122	6	1.64	228.366420	6.571493	0.077974	0.000016	18.407	16.993	16.334	15.964	15.848	00	-1	-1
227.803365	+04.691677	23402	5	SDSS	94	25	1.43	227.803370	4.691674	0.078063	0.000018	18.921	17.946	17.417	17.155	16.831	00	-1	-1
228.226827	+04.781651	23831	6	SDSS	165	7	1.85	228.226830	4.781644	0.079493	0.000022	19.111	17.062	16.182	15.785	15.473	00	-1	-1
228.836554	+05.496219	23585	7	SDSS	138	9	2.01	228.836560	5.496219	0.078672	0.000026	20.275	18.573	17.734	17.382	17.036	00	-1	-1
226.852644	+05.105620	23014	3	SDSS	46	9	1.41	226.852650	5.105623	0.076768	0.000012	18.411	17.247	16.818	16.507	16.518	00	-1	-1
228.717869	+05.285981	24054	3	SDSS	105	6	1.59	228.717880	5.285985	0.080237	0.000012	18.579	17.139	16.455	16.109	15.357	00	-1	-1
228.778178	+05.328838	23764	5	SDSS	181	7	1.91	228.778180	5.328842	0.079271	0.000019	18.618	17.078	16.178	15.738	15.424	00	-1	-1
227.173215	+06.717952	23201	7	SDSS	147	8	1.78	227.173220	6.717955	0.077393	0.000025	19.543	18.140	17.200	16.715	16.349	00	-1	-1
227.494759	+06.795092	23990	4	SDSS	84	11	1.49	227.494750	6.795097	0.080022	0.000015	19.528	18.000	17.366	16.956	16.721	00	-1	-1
227.011203	+05.063853	23537	1	SDSS	64	17	1.22	227.011210	5.063864	0.078513	0.000006	19.560	18.678	24.682	24.271	18.217	00	-1	-1
