ra_1	dec_1	cz	ecz	zref	sigma	esigma	d4000	ra_2	dec_2	z	ez	u	g	r	i	zm	id1	id2	id3
227.398563	+05.529403	25061	21	T13	149	5	1.92	227.398540	5.529402	0.083682	0.000016	19.160	17.221	16.326	15.916	15.630	00	-1	-1
227.407525	+05.391741	23343	44	T13	103	9	1.71	227.407550	5.391730	0.077949	0.000024	19.190	17.594	16.761	16.350	16.060	00	-1	-1
227.545029	+05.338855	25118	27	T13	188	5	1.87	227.545040	5.338867	0.083876	0.000016	19.190	17.368	16.420	16.062	15.807	00	-1	-1
227.452086	+05.372625	22636	23	T13	126	7	1.77	227.452100	5.372635	0.075590	0.000021	19.082	17.546	16.840	16.455	16.251	00	-1	-1
227.744193	+05.318078	24143	38	T13	102	6	1.50	227.744200	5.318089	0.080682	0.000014	17.582	16.259	15.608	15.271	15.203	00	-1	-1
227.719029	+05.323728	24100	4	SDSS	67	10	1.50	227.719040	5.323739	0.080389	0.000015	19.535	18.182	17.452	17.099	16.804	00	-1	-1
227.746980	+05.334690	23931	21	T13	92	6	1.65	227.746990	5.334699	0.079915	0.000020	19.677	18.071	17.292	16.956	16.651	00	-1	-1
227.759186	+05.315438	24473	35	T13	203	6	2.01	227.759190	5.315435	0.081884	0.000014	18.765	17.198	16.338	15.930	15.689	00	-1	-1
227.780800	+05.317282	23467	3	SDSS	343	5	2.02	227.780810	5.317283	0.078282	0.000012	17.033	15.271	14.361	13.945	13.691	00	-1	-1
227.782312	+05.327125	24172	5	SDSS	254	7	1.94	227.782320	5.327132	0.080632	0.000019	19.199	17.249	16.310	15.900	15.602	00	-1	-1
227.773244	+05.313777	24411	5	SDSS	179	6	2.00	227.773250	5.313786	0.081429	0.000020	19.847	17.799	16.897	16.503	16.243	00	-1	-1
227.782758	+05.346846	23849	26	T13	127	6	1.87	227.782770	5.346853	0.079676	0.000021	20.285	18.410	17.533	17.162	16.891	00	-1	-1
227.805494	+05.335861	22538	5	SDSS	159	7	1.75	227.805500	5.335867	0.075181	0.000019	19.248	17.576	16.655	16.162	15.815	00	-1	-1
227.857807	+05.334658	22772	4	SDSS	102	11	1.53	227.857820	5.334661	0.075961	0.000014	19.249	17.964	17.328	16.934	16.737	00	-1	-1
227.917198	+05.337632	24266	6	SDSS	188	8	1.85	227.917210	5.337640	0.080944	0.000023	19.493	17.758	16.925	16.506	16.283	00	-1	-1
227.885669	+05.370178	25449	2	SDSS	53	13	1.12	227.885680	5.370184	0.084891	0.000009	18.384	17.534	17.101	16.996	16.846	00	-1	-1
227.921940	+05.302564	25237	19	SDSS	1.26	1	DR9	227.921950	5.302574	0.084182	0.000064	18.655	17.109	16.282	15.825	15.626	00	-1	-1
228.021981	+05.381519	23187	31	T13	120	6	1.79	228.021990	5.381527	0.077635	0.000019	19.593	17.932	17.030	16.642	16.388	00	-1	-1
228.060760	+05.449506	22647	6	SDSS	82	6	1.83	228.060770	5.449516	0.075545	0.000022	19.375	17.802	16.979	16.626	16.294	00	-1	-1
227.265460	+05.974913	23019	4	SDSS	125	10	1.64	227.265460	5.974916	0.076784	0.000014	18.289	16.962	16.184	15.859	15.580	00	-1	-1
227.307649	+05.912481	23508	4	SDSS	83	4	1.81	227.307640	5.912484	0.078417	0.000015	19.431	17.640	16.830	16.469	16.115	00	-1	-1
227.333145	+05.903916	23398	5	SDSS	211	7	1.91	227.333140	5.903929	0.078051	0.000020	19.183	17.401	16.530	16.145	15.862	00	-1	-1
228.276887	+05.803573	23623	9	SDSS	90	9	1.64	228.276890	5.803573	0.078800	0.000030	19.673	18.420	17.579	17.196	16.908	00	-1	-1
227.485551	+06.199351	24084	24	T13	100	7	1.82	227.485560	6.199336	0.080337	0.000025	19.627	18.266	17.421	17.036	16.783	00	-1	-1
227.550848	+06.214250	23915	30	T13	136	5	1.94	227.550850	6.214255	0.079916	0.000018	19.682	17.779	16.903	16.476	16.288	00	-1	-1
227.599178	+06.268800	23096	3	SDSS	84	26	1.35	227.599170	6.268802	0.077042	0.000010	18.831	17.847	17.271	16.920	16.746	00	-1	-1
227.632754	+06.245276	24145	8	SDSS	98	8	1.97	227.632750	6.245283	0.080541	0.000027	19.997	18.073	17.217	16.821	16.666	00	-1	-1
227.640503	+06.204891	24759	28	T13	113	8	1.96	227.640500	6.204897	0.082702	0.000026	20.286	18.588	17.672	17.277	16.937	00	-1	-1
227.659385	+06.231358	24208	11	SDSS	79	11	1.83	227.659380	6.231360	0.080751	0.000039	20.068	18.553	17.737	17.379	17.361	00	-1	-1
227.679872	+06.198118	22018	31	T13	76	12	1.51	227.679870	6.198121	0.073326	0.000016	19.730	18.082	17.388	17.013	16.765	00	-1	-1
227.711962	+06.204290	23281	21	T13	117	6	1.92	227.711960	6.204297	0.077594	0.000018	20.042	18.338	17.470	17.096	16.824	00	-1	-1
227.718379	+06.171009	24228	32	T13	195	4	1.93	227.718380	6.171017	0.081025	0.000013	17.897	16.364	15.510	15.081	14.807	00	-1	-1
227.790754	+06.201177	24007	4	SDSS	171	5	2.03	227.790760	6.201192	0.080079	0.000016	19.107	17.390	16.494	16.094	15.781	00	-1	-1
227.880190	+06.262978	23342	6	SDSS	190	7	1.85	227.880190	6.262984	0.077864	0.000021	19.115	17.375	16.517	16.116	15.856	00	-1	-1
