#ra_1	dec_1	cz	ecz	zsource	ra_2	dec_2	u	g	r	i	zm	mur	gr	r50	rp	rf
#----	-----	--	---	-------	----	-----	-	-	-	-	--	---	--	---	--	--
259.901704	26.633520	0.523402	0.000102271	MMT/Hectospec	259.901704	26.633519	25.747	21.461	19.976	19.102	18.623	022.585	01.534	01.200	20.194	20.960
259.902070	26.533443	0.105098	0.000230193	Keck/DEIMOS	259.902066	26.533450	26.312	23.213	22.369	23.211	22.081	024.833	00.891	01.116	22.600	23.131
259.902879	26.664448	0.155506	0.000165915	MMT/Hectospec	259.902882	26.664447	21.323	19.666	18.579	18.162	17.850	021.986	01.135	01.733	18.797	19.794
259.904108	26.750074	0.431115	0.000150805	MMT/Hectospec	259.904102	26.750075	21.985	20.833	19.416	18.871	18.389	022.409	01.466	01.426	19.643	20.541
259.904240	26.609167	0.435691	0.000327294	Keck/DEIMOS	259.904235	26.609332	24.494	23.486	21.605	21.026	20.376	023.145	01.930	00.637	22.129	22.173
259.905279	26.497886	0.158679	8.40249e-05	MMT/Hectospec	259.905292	26.497890	22.287	21.177	19.990	19.627	19.015	022.752	01.234	01.324	20.148	20.699
259.906025	26.457561	0.155226	0.00010167	MMT/Hectospec	259.906033	26.457561	18.633	17.093	17.098	23.862	17.123	024.235	00.043	08.541	17.582	20.068
259.906396	26.513134	0.156475	0.000195402	MMT/Hectospec	259.906402	26.513134	20.995	20.024	19.276	18.870	18.597	022.963	00.796	02.017	19.444	20.669
259.906560	26.567862	0.670727	0.000109309	Keck/DEIMOS	259.906551	26.567846	22.586	21.873	21.305	20.312	19.985	024.420	00.617	01.551	21.472	22.376
259.907142	26.390623	0.173283	0.000155941	MMT/Hectospec	259.907156	26.390622	22.083	19.139	17.908	17.423	17.073	021.154	01.282	01.647	18.076	19.010
259.907829	26.893244	0.319067	0.000127889	MMT/Hectospec	259.907818	26.893245	23.393	20.876	19.199	18.617	18.140	021.460	01.734	01.028	19.405	20.048
259.908142	26.396164	0.175223	0.000131491	MMT/Hectospec	259.908142	26.396164	23.174	21.039	19.897	19.497	19.241	021.981	01.193	00.967	20.059	20.506
259.908264	26.728840	0.243536	0.00036532	Keck/DEIMOS	259.908213	26.728828	22.824	20.601	19.118	18.680	18.385	021.291	01.531	01.042	19.207	19.905
259.908450	26.730556	0.292385	0.00012949	Keck/DEIMOS	259.908444	26.730830	22.831	21.587	21.024	21.179	20.755	023.186	00.611	01.002	21.187	21.625
259.909120	26.647778	0.501927	6.83807e-05	Keck/DEIMOS	259.909123	26.647999	24.256	22.448	21.855	21.263	20.665	023.301	00.642	00.693	22.102	22.444
259.909360	26.707224	0.14832	0.000118782	Keck/DEIMOS	259.909354	26.707414	22.729	21.638	21.032	20.571	20.551	022.957	00.654	00.934	21.110	21.664
259.910200	26.700582	0.162971	0.000258646	MMT/Hectospec	259.910209	26.700584	22.341	21.120	20.195	19.873	19.733	022.227	00.973	00.983	20.269	20.940
259.910200	26.732361	0.164736	5.22696e-05	MMT/Hectospec	259.910209	26.732363	21.006	19.513	18.808	18.464	18.226	020.889	00.753	00.964	18.974	19.575
259.910517	26.649895	0.286675	0.000119583	MMT/Hectospec	259.910527	26.649894	22.719	21.980	20.621	20.121	19.662	023.128	01.408	01.156	20.818	21.511
259.911130	26.644444	0.67459	0.000193167	Keck/DEIMOS	259.911120	26.644552	22.632	24.383	21.149	19.951	19.341	025.099	03.284	02.502	21.113	21.710
259.911160	26.520000	0.286321	0.000151705	Keck/DEIMOS	259.911139	26.519995	22.999	21.961	21.419	21.401	21.327	023.752	00.589	00.968	21.828	22.093
259.913004	26.577247	0.176469	0.000184261	MMT/Hectospec	259.913005	26.577250	21.812	20.481	19.953	19.715	19.586	022.194	00.577	01.047	20.099	20.766
259.913522	26.386855	0.175251	8.25239e-05	SDSS	259.913522	26.386855	20.301	18.303	17.056	16.592	16.263	021.217	01.298	02.549	17.190	18.557
259.913779	26.767248	0.155836	0.000194935	MMT/Hectospec	259.913774	26.767248	22.116	19.652	18.521	18.020	17.648	021.188	01.179	01.231	18.742	19.553
259.913862	26.581497	0.176607	0.000135127	MMT/Hectospec	259.913869	26.581498	20.890	19.145	18.034	17.593	17.249	021.113	01.160	01.468	18.284	19.229
259.913880	26.499445	0.325528	8.54926e-05	Keck/DEIMOS	259.913874	26.499544	22.092	22.427	21.492	21.664	22.185	023.959	00.982	00.964	22.044	22.258
259.914467	26.898647	0.346598	0.000115413	MMT/Hectospec	259.914463	26.898646	21.362	20.695	19.730	19.375	19.106	021.955	01.021	01.031	19.894	20.520
259.914608	26.711870	0.173727	0.000122919	MMT/Hectospec	259.914620	26.711869	21.326	20.435	19.591	18.920	19.022	023.234	00.892	02.177	19.550	20.666
259.914638	26.853647	0.264601	5.38707e-05	MMT/Hectospec	259.914635	26.853646	22.517	21.052	20.276	19.906	19.920	022.229	00.828	00.891	20.485	20.945
259.914867	26.368555	0.161536	6.03085e-05	MMT/Hectospec	259.914869	26.368555	22.081	20.117	19.025	18.492	18.187	021.371	01.143	01.108	19.153	19.687
259.915160	26.627777	0.423181	5.34037e-05	Keck/DEIMOS	259.915164	26.627894	21.796	21.525	20.779	20.699	20.426	022.740	00.796	00.887	21.005	21.453
259.915340	26.635471	0.864775	5.23696e-05	Keck/DEIMOS	259.915353	26.635465	24.622	22.034	21.516	20.953	21.940	024.789	00.568	01.769	21.555	22.605
259.915896	26.387567	0.160995	0.000101237	MMT/Hectospec	259.915901	26.387566	21.917	20.487	19.521	19.039	18.676	021.820	01.017	01.095	19.628	20.053
259.916637	26.581770	0.168031	7.42515e-05	MMT/Hectospec	259.916649	26.581770	21.725	20.408	19.709	19.434	19.270	022.211	00.749	01.142	19.928	20.659
259.916637	26.901472	0.318253	0.000148636	MMT/Hectospec	259.916645	26.901473	21.448	20.042	18.411	17.811	17.549	021.913	01.688	01.787	18.657	19.775
259.916696	26.631691	0.315751	5.26699e-05	MMT/Hectospec	259.916683	26.631692	23.336	21.874	20.035	19.450	19.170	021.781	01.890	00.821	20.214	20.701
259.916842	26.494033	0.507443	7.22167e-05	MMT/Hectospec	259.916829	26.494034	22.334	21.661	20.508	19.637	19.337	023.242	01.201	01.212	20.829	21.400
259.917096	26.817448	0.0627222	8.55593e-05	MMT/Hectospec	259.917097	26.817447	21.347	20.465	20.130	19.880	19.565	021.919	00.383	00.835	20.316	20.798
259.917110	26.703611	0.579827	0.00011488	Keck/DEIMOS	259.917154	26.703811	25.086	22.797	21.687	21.201	20.591	023.712	01.159	00.865	22.032	22.537
259.918042	26.686306	0.327866	9.71007e-05	MMT/Hectospec	259.918042	26.686305	22.460	20.378	18.783	18.188	17.804	021.695	01.643	01.348	19.052	19.908
259.918154	26.391939	0.174343	0.00014877	MMT/Hectospec	259.918142	26.391939	21.725	19.879	18.734	18.256	17.935	023.936	01.196	04.129	18.862	20.277
259.918500	26.620281	0.315805	8.95621e-05	MMT/Hectospec	259.918491	26.620280	23.879	20.710	19.325	18.914	18.718	021.715	01.435	01.138	19.439	20.207
259.918958	26.818649	0.5185	0.000258012	MMT/Hectospec	259.918956	26.818650	24.661	22.480	20.675	19.802	19.252	022.282	01.853	00.763	20.874	21.264
259.920410	26.658611	0.865264	6.82473e-05	Keck/DEIMOS	259.920400	26.658788	22.262	22.049	21.473	21.007	20.705	024.224	00.626	01.365	21.553	22.417
259.920750	26.549721	0.50589	0.000110276	Keck/DEIMOS	259.920739	26.549881	23.875	22.445	21.910	21.444	20.972	024.418	00.584	01.088	22.240	22.562
259.921158	26.668408	0.20213	8.92285e-05	MMT/Hectospec	259.921168	26.668407	21.626	19.963	19.240	18.916	18.688	022.318	00.772	01.506	19.434	20.404
259.922217	26.538032	0.158867	0.000159244	MMT/Hectospec	259.922203	26.538034	21.085	19.038	17.958	17.476	17.134	021.204	01.128	01.666	18.101	19.052
259.922621	26.742222	0.371136	0.000140364	MMT/Hectospec	259.922612	26.742222	24.646	22.458	20.563	19.911	19.547	022.127	01.943	00.775	20.685	20.968
259.923710	26.662500	0.567958	0.000222621	Keck/DEIMOS	259.923691	26.662504	23.411	22.796	21.905	21.386	20.397	023.708	00.940	00.800	22.198	22.342
259.924050	26.694756	0.435345	0.000109843	MMT/Hectospec	259.924053	26.694757	22.026	21.448	20.374	19.997	19.779	022.364	01.123	00.878	20.652	21.058
259.924160	26.669722	0.167312	2.66185e-05	Keck/DEIMOS	259.924162	26.669713	22.271	21.564	20.858	20.767	21.028	022.512	00.755	00.800	21.002	21.462
259.924650	26.601000	0.217274	0.000164347	Keck/DEIMOS	259.924669	26.601013	23.136	22.655	21.669	21.314	21.929	023.984	01.037	00.954	22.091	22.481
259.925450	26.361774	0.1775	0.000117215	MMT/Hectospec	259.925455	26.361775	21.425	19.527	18.340	18.019	17.615	020.914	01.237	01.219	18.489	18.909
259.925600	26.501862	0.327352	7.73203e-05	Keck/DEIMOS	259.925542	26.501873	22.624	22.256	21.431	21.307	20.917	023.328	00.873	00.815	21.777	21.985
259.925850	26.726395	0.175535	0.000182493	MMT/Hectospec	259.925851	26.726394	22.065	20.288	19.207	18.792	18.427	021.443	01.128	01.027	19.390	20.013
259.926180	26.720556	0.163636	0.000557553	Keck/DEIMOS	259.926160	26.720716	23.708	22.040	21.220	20.908	21.576	023.036	00.867	00.772	21.603	21.900
259.926454	26.554180	0.391616	9.21639e-05	MMT/Hectospec	259.926465	26.554180	22.778	20.709	19.032	18.397	18.031	022.351	01.727	01.621	19.307	20.328
259.927567	26.375370	0.175191	8.66267e-05	MMT/Hectospec	259.927580	26.375369	21.572	19.500	18.269	17.781	17.435	020.994	01.281	01.285	18.454	19.178
259.927912	26.894476	0.16325	8.80944e-05	MMT/Hectospec	259.927900	26.894474	21.531	20.913	20.427	20.114	19.957	023.016	00.541	01.219	20.591	21.345
259.928142	26.836615	0.160535	0.000199505	MMT/Hectospec	259.928129	26.836614	25.220	21.231	20.224	19.819	19.672	022.836	01.056	01.194	20.456	21.194
259.928342	26.556814	0.159345	8.51257e-05	MMT/Hectospec	259.928344	26.556813	22.645	20.805	19.761	19.323	19.018	021.798	01.094	00.936	19.947	20.501
259.928410	26.580557	0.522618	9.06295e-05	Keck/DEIMOS	259.928396	26.580737	23.016	21.948	21.135	20.892	20.717	023.259	00.863	00.931	21.419	21.901
259.928590	26.710556	0.200459	9.9569e-05	Keck/DEIMOS	259.928581	26.710741	22.756	21.950	21.156	21.002	20.833	025.891	00.842	03.548	21.146	22.879
259.930450	26.756390	0.10407	0.000154107	Keck/DEIMOS	259.930454	26.756440	22.300	22.244	21.405	21.168	21.527	022.562	00.886	00.603	21.665	20.745
259.931658	26.599739	0.176288	7.92216e-05	MMT/Hectospec	259.931651	26.599740	18.881	17.820	17.027	16.633	16.340	020.656	00.844	01.924	17.240	18.470
259.933010	26.684555	0.327173	4.81334e-05	Keck/DEIMOS	259.932973	26.684557	23.809	22.540	21.607	21.367	21.007	022.850	00.982	00.619	21.897	22.093
259.933260	26.596111	0.176803	0.000105907	Keck/DEIMOS	259.933254	26.596255	24.327	22.828	21.893	22.072	21.322	023.980	00.986	00.827	22.397	22.744
259.933292	26.574204	0.158386	0.000129023	MMT/Hectospec	259.933280	26.574202	21.580	20.390	19.704	19.393	19.249	021.197	00.737	00.738	19.862	20.279
259.933721	26.455274	0.270573	0.000104839	MMT/Hectospec	259.933725	26.455276	22.614	21.022	19.445	19.089	18.653	022.401	01.626	01.421	19.643	20.371
259.934350	26.758861	0.371891	8.39916e-05	MMT/Hectospec	259.934336	26.758881	22.581	20.885	19.201	18.549	18.176	021.935	01.731	01.318	19.340	20.206
259.935940	26.583334	0.613673	6.80138e-05	Keck/DEIMOS	259.935950	26.583325	24.041	23.367	21.436	21.038	20.633	023.325	01.982	00.851	21.680	22.036
259.936208	26.428633	0.178297	0.000117081	MMT/Hectospec	259.936194	26.428634	21.217	20.336	19.452	18.843	18.454	022.863	00.934	01.718	19.693	20.736
259.936370	26.493055	0.107915	0.000642312	Keck/DEIMOS	259.936374	26.493161	23.388	21.208	20.527	20.131	19.982	022.877	00.729	01.066	20.743	21.207
259.937296	26.464983	0.286671	0.000121951	MMT/Hectospec	259.937284	26.464983	20.493	19.904	19.264	19.106	18.935	022.244	00.688	01.426	19.478	20.285
259.937650	26.620556	0.175581	0.000257545	Keck/DEIMOS	259.937667	26.620738	22.163	22.576	21.451	21.202	21.404	024.256	01.177	01.245	21.785	22.534
259.938450	26.656389	0.264018	0.000327627	Keck/DEIMOS	259.938476	26.656542	24.337	22.707	21.651	21.142	21.166	022.741	01.107	00.544	22.068	22.131
259.941220	26.664999	0.263938	0.000149737	Keck/DEIMOS	259.941231	26.665075	24.386	22.358	20.955	20.473	20.058	022.468	01.454	00.740	21.127	21.538
259.942104	26.359766	0.175049	0.000232261	MMT/Hectospec	259.942090	26.359766	21.390	20.729	19.880	19.471	19.387	022.540	00.899	01.244	20.071	20.762
259.942291	26.693789	0.316492	0.000274724	Keck/DEIMOS	259.942261	26.693854	23.068	21.994	20.733	20.254	19.699	023.245	01.310	01.192	20.869	21.609
259.942500	26.692221	0.160739	0.000136595	Keck/DEIMOS	259.942503	26.692422	22.850	20.423	19.369	19.004	18.741	021.793	01.103	01.126	19.540	20.268
259.942617	26.538242	0.158225	0.000154707	MMT/Hectospec	259.942628	26.538242	22.618	20.864	19.804	19.417	19.149	022.032	01.109	01.005	20.026	20.651
259.942646	26.667414	0.2636	9.77011e-05	MMT/Hectospec	259.942650	26.667415	25.893	21.362	19.956	19.539	19.433	021.708	01.457	00.845	20.079	20.615
259.943180	26.564722	0.190848	9.98692e-05	Keck/DEIMOS	259.943173	26.564788	23.333	21.960	21.345	21.130	20.803	023.904	00.666	01.201	21.511	22.260
259.944075	26.579158	0.156704	9.90687e-05	MMT/Hectospec	259.944076	26.579158	22.707	21.339	20.261	19.800	19.418	021.536	01.130	00.669	20.414	20.779
259.944733	26.773052	0.265265	7.5419e-05	MMT/Hectospec	259.944737	26.773052	20.439	19.758	19.377	19.068	18.750	021.011	00.428	00.824	19.436	19.930
259.944992	26.678536	0.392266	0.000145468	MMT/Hectospec	259.944987	26.678537	22.219	21.043	20.084	19.595	19.375	023.089	01.009	01.399	20.365	21.229
259.945421	26.766333	0.372355	0.000266785	MMT/Hectospec	259.945424	26.766332	22.983	22.033	20.327	19.676	19.214	022.258	01.753	00.915	20.456	21.013
259.946080	26.539165	0.152886	0.000372625	Keck/DEIMOS	259.946072	26.539410	22.918	21.579	20.691	20.257	20.068	023.008	00.938	01.041	20.926	21.531
259.946596	26.510170	0.164261	0.000111844	MMT/Hectospec	259.946592	26.510170	22.341	20.514	19.381	18.943	18.631	021.710	01.181	01.057	19.595	20.074
259.947479	26.698385	0.327823	9.63335e-05	MMT/Hectospec	259.947474	26.698385	22.314	21.513	20.420	19.989	19.698	022.268	01.142	00.836	20.662	21.151
259.947570	26.631390	0.705102	0.000365854	Keck/DEIMOS	259.947570	26.631569	22.657	23.044	22.017	21.407	23.543	023.956	01.079	00.648	22.903	22.839
259.948112	26.476576	0.17682	0.000208945	MMT/Hectospec	259.948106	26.476575	21.724	20.769	20.105	19.759	19.520	022.791	00.712	01.252	20.308	20.929
259.948225	26.602097	0.176687	0.000141998	MMT/Hectospec	259.948219	26.602097	20.849	19.775	19.302	19.074	18.967	022.016	00.526	01.332	19.398	20.252
259.949142	26.676807	0.315742	0.000193834	MMT/Hectospec	259.949151	26.676808	22.639	21.477	20.476	20.089	19.669	022.428	01.051	00.894	20.676	21.204
259.949740	26.699720	0.316061	0.000183227	Keck/DEIMOS	259.949739	26.699764	23.450	21.959	21.285	20.948	21.822	023.897	00.723	01.102	21.691	22.264
259.949742	26.662056	0.264103	0.000110343	MMT/Hectospec	259.949756	26.662084	25.758	20.924	19.625	19.080	18.712	022.066	01.351	01.094	19.876	20.566
259.951170	26.754168	0.511938	0.00032716	Keck/DEIMOS	259.951161	26.754247	23.267	22.005	20.894	20.261	19.923	023.063	01.157	00.984	21.103	21.633
259.951538	26.638781	0.317026	8.3191e-05	Keck/DEIMOS	259.951500	26.638774	24.366	22.241	21.519	21.340	21.150	023.459	00.774	00.867	21.774	21.514
259.951746	26.483877	0.16243	0.000101871	MMT/Hectospec	259.951743	26.483879	20.342	18.614	17.450	17.010	16.662	020.727	01.212	01.681	17.604	18.588
259.951780	26.639166	0.816576	7.96886e-05	Keck/DEIMOS	259.951794	26.639324	21.193	20.854	20.753	20.695	19.655	023.181	00.153	01.111	20.957	21.538
259.952240	26.570002	0.156599	0.000639677	Keck/DEIMOS	259.952274	26.570232	20.593	18.662	17.471	16.996	16.632	020.860	01.243	01.689	17.727	18.808
259.952550	26.577501	0.486577	8.11563e-05	Keck/DEIMOS	259.952521	26.577693	22.901	22.818	21.896	21.531	20.772	023.688	00.975	00.808	22.156	22.286
259.953090	26.536667	0.270451	9.99026e-05	Keck/DEIMOS	259.953067	26.536659	23.482	22.648	21.497	21.838	20.726	023.679	01.201	00.926	21.851	22.272
259.953125	26.591936	0.504976	0.000204041	Keck/DEIMOS	259.953121	26.591903	25.738	21.900	20.515	19.621	19.155	022.575	01.438	00.948	20.696	21.240
259.953280	26.685471	0.163178	0.000265718	Keck/DEIMOS	259.953312	26.685458	21.744	20.280	19.148	18.715	18.389	021.744	01.182	01.199	19.355	20.123
259.953287	26.358072	0.159179	0.000133526	MMT/Hectospec	259.953287	26.358071	24.091	21.178	20.190	19.766	19.475	022.397	01.038	00.989	20.426	20.845
259.953580	26.593889	0.21884	6.12425e-05	Keck/DEIMOS	259.953573	26.593925	22.247	21.596	20.987	21.036	21.477	022.982	00.662	00.876	21.274	21.813
259.953804	26.511902	0.175994	0.000191066	MMT/Hectospec	259.953799	26.511904	21.817	19.799	18.547	18.107	17.762	020.713	01.301	00.998	18.722	19.354
259.954063	26.892603	0.244849	0.00016348	MMT/Hectospec	259.954048	26.892602	20.824	19.118	17.903	17.409	17.015	021.041	01.269	01.528	18.125	19.115
259.955062	26.713089	0.159236	0.000224189	MMT/Hectospec	259.955073	26.713090	20.384	18.593	17.492	17.012	16.672	021.085	01.149	01.872	17.728	18.897
259.955350	26.616850	0.175492	9.88018e-05	MMT/Hectospec	259.955357	26.616851	20.600	19.284	18.179	17.673	17.285	022.087	01.159	02.067	18.515	19.771
259.955440	26.523333	0.324764	0.000184995	Keck/DEIMOS	259.955412	26.523499	25.930	22.567	21.322	20.833	20.424	023.607	01.294	00.860	21.940	22.266
259.955833	26.574478	0.163851	0.000113279	MMT/Hectospec	259.955828	26.574477	21.837	20.223	19.092	18.667	18.395	021.334	01.184	01.024	19.288	19.932
259.956008	26.619882	0.176596	9.74342e-05	MMT/Hectospec	259.956005	26.619883	22.592	21.273	20.451	20.124	19.867	022.169	00.876	00.820	20.605	21.083
259.956037	26.473217	0.161428	0.000117782	MMT/Hectospec	259.956046	26.473216	22.083	20.042	18.865	18.424	18.062	021.410	01.225	01.208	19.005	19.659
259.956467	26.431938	0.104428	8.1223e-05	MMT/Hectospec	259.956461	26.431938	19.710	17.988	17.112	16.662	16.324	021.485	00.926	02.635	17.386	18.899
259.957208	26.558189	0.161132	7.75538e-05	MMT/Hectospec	259.957201	26.558189	22.804	21.328	20.313	19.912	19.718	022.615	01.067	01.037	20.541	21.187
259.957820	26.522499	0.164767	0.000370023	Keck/DEIMOS	259.957802	26.522740	24.790	22.112	21.470	21.268	20.793	023.435	00.691	00.857	21.775	22.237
259.958525	26.587797	0.219523	7.37511e-05	MMT/Hectospec	259.958538	26.587797	21.487	20.234	19.688	19.395	19.296	021.987	00.600	01.040	19.907	20.482
259.958680	26.672777	0.265679	2.28825e-05	Keck/DEIMOS	259.958680	26.672886	24.962	22.435	21.863	21.713	21.911	024.728	00.623	01.564	21.762	22.653
259.959590	26.603611	0.157169	0.00044731	Keck/DEIMOS	259.959587	26.603807	22.196	20.006	18.943	18.525	18.256	021.684	01.117	01.258	19.191	20.014
259.959671	26.618339	0.176563	9.31312e-05	MMT/Hectospec	259.959680	26.618338	21.651	20.639	19.993	19.689	19.735	022.374	00.700	01.108	20.156	20.819
259.959783	26.879070	0.462776	0.00022062	MMT/Hectospec	259.959772	26.879070	22.502	21.579	20.592	20.157	19.630	022.478	01.040	00.883	20.753	21.235
259.959990	26.537777	0.23064	0.000108675	Keck/DEIMOS	259.959971	26.537903	22.652	21.759	21.101	20.938	20.807	022.478	00.708	00.654	21.405	21.672
259.960071	26.755327	0.160128	8.2624e-05	MMT/Hectospec	259.960065	26.755329	22.288	20.430	19.386	18.961	18.466	021.639	01.090	01.043	19.553	20.205
259.960271	26.485722	0.22111	0.00010037	MMT/Hectospec	259.960269	26.485721	22.581	20.482	19.178	18.687	18.343	021.791	01.353	01.250	19.311	19.995
259.960354	26.759536	0.377303	0.000121684	MMT/Hectospec	259.960357	26.759537	20.910	19.868	18.636	18.165	17.789	021.916	01.278	01.659	18.822	19.882
259.960554	26.427431	0.15762	0.000183561	MMT/Hectospec	259.960560	26.427430	23.038	20.466	19.472	19.051	18.739	021.756	01.043	01.060	19.634	20.144
259.960671	26.702944	0.186337	9.74009e-05	MMT/Hectospec	259.960658	26.702967	20.930	19.706	19.049	18.633	18.411	022.848	00.706	02.102	19.240	20.603
259.961271	26.444584	0.164821	0.000120017	MMT/Hectospec	259.961282	26.444582	22.273	20.829	19.770	19.339	18.946	022.506	01.108	01.295	19.950	20.673
259.961360	26.732500	0.577202	8.86615e-05	Keck/DEIMOS	259.961406	26.732660	22.850	22.462	21.742	21.438	22.005	023.455	00.767	00.762	22.050	22.452
259.961442	26.673889	0.154081	9.74342e-05	MMT/Hectospec	259.961442	26.673918	22.422	20.283	19.196	18.751	18.400	021.463	01.139	01.043	19.377	20.054
259.961529	26.391807	0.10543	8.42918e-05	MMT/Hectospec	259.961520	26.391807	20.102	18.093	17.116	16.697	16.362	020.228	01.028	01.550	17.281	18.196
259.962130	26.515278	0.176901	0.00015831	Keck/DEIMOS	259.962122	26.515444	22.601	22.373	21.757	21.435	21.246	023.263	00.665	00.528	22.655	22.386
259.962280	26.712778	0.156564	0.000413553	Keck/DEIMOS	259.962282	26.712807	23.735	21.674	20.896	20.531	20.345	022.237	00.826	00.630	21.245	21.438
259.962587	26.611467	0.176284	0.000109309	MMT/Hectospec	259.962575	26.611468	21.979	19.964	19.021	18.648	18.432	020.793	00.997	00.826	19.213	19.698
259.962958	26.710703	0.227775	8.49589e-05	MMT/Hectospec	259.962956	26.710704	22.205	21.204	20.602	20.274	20.124	022.436	00.651	00.865	20.756	21.266
259.963962	26.580950	0.160928	8.20235e-05	MMT/Hectospec	259.963959	26.580949	21.694	19.574	18.375	17.905	17.563	021.765	01.253	01.685	18.637	19.699
259.964246	26.370010	0.173651	7.17164e-05	MMT/Hectospec	259.964255	26.370011	21.196	19.667	18.736	18.291	18.053	021.674	00.982	01.412	18.930	19.743
259.965180	26.585472	0.16193	0.000291269	Keck/DEIMOS	259.965160	26.585472	25.505	21.059	20.045	19.643	19.229	023.207	01.068	01.476	20.367	21.273
259.965421	26.642700	0.156017	0.000138329	MMT/Hectospec	259.965415	26.642704	21.255	19.622	18.532	18.095	17.761	021.236	01.144	01.247	18.762	19.558
259.965970	26.730833	0.58588	6.95149e-05	Keck/DEIMOS	259.965971	26.730814	25.041	22.905	22.090	21.556	21.389	025.232	00.862	01.735	22.041	22.976
259.966250	26.761189	0.371965	0.00016298	MMT/Hectospec	259.966253	26.761188	25.144	21.968	20.545	19.988	19.634	021.712	01.469	00.624	20.741	21.057
259.966479	26.580475	0.0647404	8.87282e-05	MMT/Hectospec	259.966489	26.580475	21.158	20.551	20.213	20.012	19.844	022.597	00.392	01.101	20.393	21.096
259.966800	26.581945	0.67371	0.000244703	Keck/DEIMOS	259.966788	26.582069	23.412	22.782	21.383	20.110	19.551	022.790	01.452	00.729	21.481	21.910
259.967167	26.743170	0.286034	0.000218251	MMT/Hectospec	259.967165	26.743170	23.121	21.280	19.794	19.219	18.988	021.738	01.533	00.915	19.936	20.518
259.967350	26.526388	0.243482	0.000153607	Keck/DEIMOS	259.967317	26.526612	23.720	21.573	20.736	20.486	20.687	022.939	00.887	01.006	20.931	21.501
259.967680	26.700668	0.0929318	0.000157843	Keck/DEIMOS	259.967685	26.700661	22.719	21.915	21.653	21.668	21.228	024.335	00.311	01.167	22.005	22.667
259.969240	26.359167	0.175284	0.000254143	Keck/DEIMOS	259.969244	26.359236	21.117	19.511	18.242	17.721	17.310	023.273	01.319	04.327	18.097	19.526
259.969542	26.421625	0.154205	0.00010634	MMT/Hectospec	259.969552	26.421624	21.202	19.473	18.375	17.949	17.618	021.445	01.148	01.493	18.580	19.451
259.971313	26.447895	0.16291	7.692e-05	MMT/Hectospec	259.971320	26.447895	23.443	20.616	19.557	19.172	18.858	022.042	01.108	01.155	19.734	20.319
259.971620	26.541388	0.157704	0.000545878	Keck/DEIMOS	259.971599	26.541415	23.931	22.242	21.342	21.037	20.627	024.094	00.951	01.254	21.608	22.332
259.975160	26.728889	0.647313	3.88269e-05	Keck/DEIMOS	259.975168	26.729027	23.630	22.663	21.813	21.394	21.582	024.004	00.897	01.010	21.987	22.585
259.975375	26.466222	0.155842	0.000198404	MMT/Hectospec	259.975362	26.466223	21.784	20.385	19.301	18.937	18.668	021.780	01.132	01.165	19.453	20.069
259.976521	26.820547	0.29089	0.000217284	MMT/Hectospec	259.976530	26.820547	22.070	20.226	18.775	18.183	17.900	021.654	01.498	01.395	18.936	19.856
259.977080	26.569445	0.503068	5.32369e-05	Keck/DEIMOS	259.977062	26.569517	23.147	21.511	20.843	20.698	20.925	022.665	00.722	00.813	21.120	21.611
259.977292	26.478811	0.159518	0.000161545	MMT/Hectospec	259.977299	26.478810	22.307	20.585	19.524	19.108	18.771	021.243	01.109	00.804	19.722	20.161
259.978208	26.816986	0.290673	5.44044e-05	MMT/Hectospec	259.978216	26.816987	24.156	20.664	19.318	18.736	18.315	022.332	01.392	01.417	19.580	20.483
259.978640	26.544443	0.676233	0.000261748	Keck/DEIMOS	259.978601	26.544624	21.614	21.955	20.991	20.156	19.781	024.954	01.016	01.712	21.791	22.073
259.979430	26.680832	0.263536	0.000100603	Keck/DEIMOS	259.979389	26.680844	24.366	22.904	21.892	22.046	21.363	024.802	01.063	01.652	21.717	22.722
259.979680	26.574446	0.324243	5.30368e-05	Keck/DEIMOS	259.979662	26.574487	21.714	21.262	20.558	20.553	20.685	023.196	00.759	01.193	20.818	21.549
259.979950	26.607500	0.180571	9.13633e-05	Keck/DEIMOS	259.979937	26.607518	21.909	21.372	20.671	20.491	20.425	023.479	00.756	01.267	20.970	21.767
259.981042	26.461244	0.157516	7.8321e-05	MMT/Hectospec	259.981054	26.461248	21.011	20.033	19.457	19.130	19.093	022.263	00.624	01.364	19.594	20.354
259.981260	26.612223	0.263614	9.16302e-05	Keck/DEIMOS	259.981259	26.612460	23.700	22.508	21.925	21.927	22.283	023.445	00.639	00.751	22.072	22.461
259.981450	26.615278	0.152561	0.000328695	Keck/DEIMOS	259.981432	26.615467	22.065	21.320	20.404	20.021	19.509	023.016	00.972	01.228	20.575	21.340
259.981554	26.424688	0.175215	9.15968e-05	MMT/Hectospec	259.981559	26.424688	21.822	19.475	18.366	17.966	17.678	021.457	01.158	01.537	18.529	19.438
259.981754	26.814514	0.293281	0.000104406	MMT/Hectospec	259.981760	26.814515	22.565	20.646	19.263	18.593	18.190	022.267	01.430	01.395	19.549	20.438
259.981900	26.534332	0.162928	0.000286665	Keck/DEIMOS	259.981904	26.534343	23.541	20.678	19.544	19.152	18.764	021.577	01.185	00.942	19.712	20.296
259.982787	26.394211	0.174468	8.33244e-05	MMT/Hectospec	259.982776	26.394210	20.850	18.668	17.504	17.027	16.686	020.957	01.215	01.793	17.694	18.750
