RA	DEC	z	ez	zconf	ra	dec	u	g	r	i	zm	mur	gr	r50	rp	rf
3745.99755	47.01478	0.37484	0.00017	SDSS	249.733196	47.014783	26.057	21.239	19.301	18.714	18.404	022.582	01.963	01.820	19.287	20.283
3746.07269	46.9349097	0.453208	0.000133259	10.35	249.738173	46.934906	23.912	21.664	19.944	19.174	18.753	022.350	01.744	01.169	20.016	20.744
3746.11001	46.8255194	0.228206	0.000118115	15.01	249.740695	46.825513	21.620	19.769	18.395	17.883	17.543	021.229	01.398	01.401	18.502	19.391
3746.11344	46.3252411	0.416907	0.00022589	 5.27	249.740900	46.325243	22.009	21.099	19.491	18.872	18.419	023.067	01.625	01.789	19.809	20.916
3746.14093	46.6968192	0.223516	0.000121651	12.15	249.742747	46.696825	23.018	20.585	19.268	18.854	18.406	021.534	01.340	01.079	19.374	20.049
3746.25719	47.0141906	0.374824	0.000121217	12.18	249.750483	47.014195	21.942	20.090	18.501	17.877	17.502	022.165	01.614	01.953	18.716	19.889
3746.28425	46.3618011	0.393531	0.000186963	 5.82	249.752297	46.361794	21.958	21.258	19.961	19.459	19.113	022.724	01.315	01.360	20.061	20.895
3746.298	46.9044419	0.225289	9.63668e-05	18.11	249.753171	46.904432	22.408	19.862	18.523	18.040	17.760	021.057	01.364	01.200	18.666	19.398
3746.32887	46.4613189	0.407752	0.000144967	 8.03	249.755241	46.461319	22.277	21.432	19.817	19.316	18.871	022.491	01.635	01.290	19.943	20.710
3746.36838	47.0690689	0.224074	8.53925e-05	15.42	249.757900	47.069068	21.612	19.719	18.277	17.725	17.312	021.777	01.468	01.837	18.461	19.577
3746.40569	46.5826989	0.225566	0.000105039	 9.24	249.760390	46.582695	23.424	21.079	19.857	19.356	19.103	021.974	01.244	00.988	20.005	20.530
3746.4057	47.103	0.22548	0.00016	SDSS	249.760381	47.103000	20.699	18.835	17.479	16.968	16.655	020.968	01.383	01.880	17.602	18.736
3746.47994	46.8546294	0.361987	0.000131458	 8.18	249.765312	46.854627	22.553	21.022	19.898	19.450	19.166	022.739	01.149	01.402	20.010	20.693
3746.4885	46.7455406	0.233639	0.00011955	 9.14	249.765901	46.745542	23.185	20.682	19.435	19.018	18.704	021.816	01.271	01.156	19.506	20.220
3746.5038	46.56131	0.11139	0.00014	2MASX	249.766925	46.561314	20.231	18.301	17.178	16.644	16.209	020.993	01.144	02.120	17.366	18.630
3746.53143	46.8788986	0.228425	0.000179391	 6.88	249.768774	46.878905	22.570	21.194	19.931	19.534	19.118	022.678	01.287	01.334	20.057	20.844
3746.54432	46.7369994	0.232221	0.000140964	10.81	249.769608	46.736999	22.626	21.007	19.754	19.272	19.010	021.268	01.277	00.759	19.872	20.233
3746.56575	46.5680619	0.229932	0.000129957	11.69	249.771030	46.568061	21.805	19.717	18.418	17.936	17.624	022.414	01.321	02.317	18.594	19.932
3746.57994	46.6858711	0.225438	0.000126688	11.78	249.771979	46.685868	21.988	21.171	19.852	19.324	19.034	021.355	01.342	00.769	19.930	20.341
3746.61513	46.6530686	0.22535	0.000149637	 8.67	249.774328	46.653074	22.983	21.168	19.832	19.397	19.108	021.389	01.359	00.789	19.909	20.297
3746.628	46.5537911	0.22744	0.000136261	11.43	249.775185	46.553787	24.009	20.550	19.410	18.949	18.571	022.057	01.162	01.261	19.558	20.263
3746.628	46.3813592	0.228698	0.000109376	13.68	249.775176	46.381353	22.365	20.342	19.130	18.659	18.354	021.362	01.230	01.070	19.220	19.808
3746.65887	47.1111297	0.227957	0.000105173	14.30	249.777256	47.111134	21.736	19.992	18.619	18.089	17.782	021.159	01.399	01.224	18.725	19.474
3746.66106	46.6990508	0.191841	0.000113412	11.56	249.777375	46.699057	20.856	19.296	18.301	17.884	17.528	021.879	01.019	01.977	18.404	19.660
3746.68163	46.7914811	0.191623	0.000152206	 7.50	249.778774	46.791478	23.649	21.195	19.913	19.346	19.221	021.955	01.307	00.932	20.113	20.411
3746.71168	46.9163208	0.227364	0.000121451	12.64	249.780807	46.916317	21.610	20.059	18.411	17.810	17.556	021.297	01.672	01.426	18.531	19.341
3746.71212	47.13282	0.22523	9.15968e-05	19.59	249.780821	47.132829	20.981	19.032	17.878	17.400	17.122	021.252	01.181	01.736	18.059	19.127
3746.71382	46.9275017	0.228669	0.000121684	11.63	249.780927	46.927493	21.845	20.278	19.069	18.628	18.336	021.070	01.233	00.954	19.177	19.714
3746.71725	46.4833908	0.28405	0.000141198	 9.62	249.781137	46.483388	22.871	21.206	19.874	19.316	18.981	021.678	01.353	00.871	19.983	20.418
3746.73874	46.2955397	0.224197	0.000123519	13.41	249.782590	46.295535	22.824	20.972	19.545	19.034	18.646	021.577	01.443	00.994	19.595	20.171
3746.7513	46.73128	0.23251	0.00015	2MASX	249.783405	46.731267	20.772	18.903	17.551	17.067	16.742	020.623	01.377	01.556	17.668	18.650
3746.77394	46.4314308	0.369646	0.000122852	 8.26	249.784956	46.431427	21.488	20.574	19.526	19.142	18.640	022.472	01.068	01.480	19.626	20.533
3746.77394	46.5767289	0.226023	0.000106807	13.86	249.784945	46.576722	21.390	19.826	18.472	17.953	17.623	021.616	01.376	01.574	18.636	19.625
3746.78337	46.91016	0.220521	0.00011061	15.16	249.785557	46.910159	21.474	19.735	18.419	17.871	17.528	022.220	01.340	02.401	18.323	19.606
3746.89962	46.3497886	0.394113	0.000106307	10.80	249.793321	46.349791	21.752	20.700	19.615	19.281	19.109	022.589	01.102	01.485	19.735	20.637
3746.93268	46.69038	0.190669	8.67935e-05	12.99	249.795514	46.690382	22.025	20.279	19.087	18.628	18.444	021.526	01.216	01.155	19.218	19.919
3746.97606	46.6641503	0.222963	0.000145134	10.78	249.798410	46.664147	22.641	20.731	19.369	18.887	18.617	021.539	01.386	01.029	19.482	20.084
3746.9975	46.8394089	0.218894	0.000123019	12.89	249.799838	46.839412	21.287	19.404	18.257	17.755	17.391	021.729	01.173	01.836	18.415	19.566
3747.01293	46.6240692	0.226717	0.000125554	11.89	249.800887	46.624068	22.931	20.880	19.576	19.108	18.787	021.590	01.327	00.950	19.706	20.247
3747.04512	47.05233	0.374715	0.000167216	 8.18	249.803016	47.052334	23.535	21.719	19.963	19.327	19.064	022.181	01.782	01.047	20.086	20.672
3747.09663	46.54776	0.474879	0.000140064	10.51	249.806440	46.547760	22.839	21.350	19.662	18.841	18.452	022.822	01.710	01.593	19.816	20.816
3747.13094	46.7807006	0.224561	0.000135694	10.18	249.808728	46.780700	22.032	20.555	19.445	19.069	18.853	022.187	01.136	01.322	19.586	20.409
3747.14469	46.8102989	0.217197	0.000114379	13.83	249.809654	46.810299	25.094	21.057	19.704	19.194	18.908	021.367	01.379	00.814	19.819	20.244
3747.152	46.3934403	0.310484	0.000112244	14.88	249.810127	46.393445	22.449	20.489	18.804	18.234	17.920	020.911	01.704	01.007	18.901	19.464
3747.15288	46.4029083	0.311213	9.67671e-05	12.21	249.810180	46.402908	22.684	20.881	19.293	18.804	18.436	022.145	01.607	01.414	19.398	20.256
3747.16875	46.87419	0.08258	0.00009	SDSS	249.811235	46.874184	18.048	17.072	16.732	16.488	16.414	020.344	00.366	01.961	16.887	18.113
3747.19232	46.35297	0.226373	9.71674e-05	15.39	249.812837	46.352976	22.027	20.139	18.918	18.334	17.971	021.527	01.239	01.271	19.011	19.783
3747.19275	46.7631303	0.228956	0.000117415	12.28	249.812858	46.763126	23.112	21.055	19.741	19.232	18.958	021.682	01.339	00.924	19.859	20.393
3747.2112	47.10028	0.22802	0.00017	SDSS	249.814071	47.100270	21.321	19.117	17.727	17.196	16.882	020.830	01.416	01.587	17.832	18.817
3747.21894	46.6877289	0.245561	0.000117715	11.95	249.814595	46.687729	21.501	20.508	19.256	18.763	18.423	021.586	01.277	01.133	19.320	19.984
3747.24257	46.5022392	0.283664	8.14231e-05	19.46	249.816159	46.502241	21.639	20.177	19.038	18.524	18.086	021.425	01.161	01.156	19.115	19.778
3747.25456	46.5388794	0.260617	0.000121084	12.98	249.816974	46.538881	22.267	19.785	18.447	17.959	17.589	022.448	01.359	02.236	18.706	20.075
3747.25887	46.7955208	0.192031	0.000113345	12.44	249.817254	46.795522	21.411	19.821	18.641	18.157	17.826	021.459	01.206	01.352	18.809	19.649
3747.31638	46.7908783	0.219195	0.000104306	16.28	249.821071	46.790878	22.454	20.234	18.910	18.461	18.051	021.276	01.350	01.109	19.056	19.741
3747.31982	46.7614289	0.222098	0.000121317	13.82	249.821310	46.761428	23.367	20.569	19.217	18.740	18.430	021.251	01.378	00.984	19.291	19.889
3747.32838	46.6222611	0.226282	0.000176622	 8.32	249.821880	46.622267	23.832	20.938	19.694	19.213	18.978	022.136	01.267	01.169	19.802	20.494
3747.364	46.6442489	0.224892	0.000121051	 8.41	249.824267	46.644255	21.272	19.690	18.284	17.795	17.471	021.789	01.429	01.832	18.479	19.613
3747.37131	46.9827919	0.190945	9.78679e-05	17.02	249.824738	46.982788	21.556	19.424	18.124	17.634	17.257	021.205	01.324	01.574	18.225	19.201
3747.42237	46.9643783	0.248183	0.000100436	16.40	249.828159	46.964374	23.246	20.903	19.474	19.043	18.787	021.327	01.453	00.893	19.578	19.987
3747.48456	46.8647806	0.225538	0.000132358	13.11	249.832300	46.864775	21.469	19.185	17.728	17.199	16.863	021.139	01.483	01.773	17.900	19.000
3747.49275	46.4687997	-9.80346e-05	0.000116714	 9.12	249.832854	46.468794	22.235	19.802	18.438	17.703	17.257	020.131	01.386	00.839	18.517	18.951
3747.51851	46.5387917	0.228697	8.25239e-05	15.08	249.834586	46.538789	22.203	19.861	18.492	17.950	17.594	021.269	01.391	01.349	18.624	19.486
3747.52405	46.3035583	0.271928	0.000111677	14.30	249.834919	46.303563	21.890	20.126	18.767	18.192	17.731	021.740	01.376	01.485	18.886	19.805
3747.57213	46.8718794	0.230236	0.000111044	13.01	249.838156	46.871878	22.601	20.989	19.715	19.228	18.923	021.438	01.300	00.861	19.768	20.233
3747.5953	46.4654197	0.260744	0.000100236	14.89	249.839691	46.465421	21.461	19.749	18.488	17.976	17.637	020.588	01.283	01.005	18.582	19.133
3747.70687	46.7287711	0.189827	0.000105373	14.94	249.847137	46.728763	22.434	20.627	19.412	18.992	18.686	021.293	01.241	00.924	19.470	20.030
3747.7215	46.6160583	0.190414	7.96219e-05	15.21	249.848100	46.616065	21.264	19.613	18.540	18.034	17.757	021.190	01.097	01.319	18.594	19.424
3747.72837	46.70998	0.324056	0.000114213	13.96	249.848570	46.709985	23.016	21.500	19.513	18.820	18.335	022.224	02.012	01.456	19.413	20.043
3747.74463	46.4318389	0.193177	9.31646e-05	15.99	249.849645	46.431842	20.897	19.139	17.909	17.445	17.069	021.634	01.251	02.065	18.064	19.274
3747.74593	46.7277183	0.190138	0.000102404	14.97	249.849712	46.727720	22.178	20.640	19.401	18.965	18.574	020.978	01.265	00.783	19.514	19.905
3747.81555	46.52792	0.18882	0.00015	SDSS	249.854392	46.527910	20.295	18.516	17.325	16.880	16.551	021.776	01.213	02.790	17.553	19.067
3747.87813	46.6638794	0.227094	0.000113946	13.57	249.858532	46.663881	22.091	19.699	18.286	17.812	17.491	021.357	01.437	01.532	18.436	19.410
3747.87944	46.8484992	0.191516	9.09297e-05	18.62	249.858654	46.848496	21.724	19.972	18.840	18.444	18.122	020.771	01.158	00.930	18.934	19.471
3747.92231	46.8603706	0.533017	0.000180625	 6.75	249.861493	46.860372	22.412	21.207	19.856	19.213	18.878	022.892	01.377	01.509	20.004	20.972
3747.95838	46.9454994	0.260551	0.000116714	14.89	249.863896	46.945492	22.749	19.875	18.458	17.985	17.591	021.396	01.442	01.482	18.547	19.472
3747.9594	46.30486	0.13383	0.00018	2MASX	249.863981	46.304847	19.660	18.137	17.284	16.850	16.513	020.438	00.870	01.622	17.393	18.402
3747.96006	46.9678994	0.219416	0.000155341	10.02	249.864009	46.967890	21.658	20.115	19.032	18.601	18.259	021.813	01.107	01.361	19.149	19.992
3747.96312	46.7841492	0.191028	0.000126654	10.43	249.864205	46.784150	21.397	20.100	18.947	18.457	18.164	021.976	01.180	01.518	19.075	20.029
3748.04031	47.0660094	0.225902	0.000107341	16.77	249.869341	47.066009	21.655	19.895	18.489	17.989	17.676	021.159	01.433	01.296	18.601	19.406
3748.04163	46.8095511	0.218383	0.00010544	15.94	249.869418	46.809550	21.858	20.167	18.753	18.256	17.937	021.394	01.441	01.327	18.785	19.632
3748.04418	46.57275	0.221812	0.000169151	 9.61	249.869604	46.572750	23.666	21.203	19.908	19.446	19.302	021.645	01.318	00.847	20.011	20.460
3748.085	46.6845397	0.193851	0.000102204	14.82	249.872337	46.684545	21.293	19.540	18.378	17.863	18.120	022.648	01.188	03.136	18.171	19.286
3748.10599	46.6854286	0.191924	0.000131158	12.14	249.873716	46.685429	20.766	19.021	17.699	17.236	16.870	021.173	01.348	01.830	17.866	18.928
3748.11332	46.6698989	0.19327	0.000176656	 7.66	249.874212	46.669896	21.031	19.929	18.909	18.470	18.151	022.148	01.045	01.683	19.023	20.105
3748.1605	46.7355194	0.218499	0.000136228	11.50	249.877338	46.735519	21.506	20.033	18.847	18.279	18.006	021.315	01.212	01.199	18.926	19.684
3748.16824	46.8953094	0.229345	0.000107408	16.19	249.877861	46.895307	21.048	19.152	17.802	17.282	16.961	021.521	01.376	02.082	17.934	19.171
3748.17038	46.8815614	0.288898	0.000112111	13.59	249.878012	46.881561	23.080	20.861	19.478	18.954	18.699	021.612	01.409	01.028	19.557	20.144
3748.17594	46.76326	0.363447	0.000112011	12.29	249.878397	46.763261	24.625	21.524	19.919	19.379	19.050	021.570	01.632	00.826	19.990	20.422
3748.19685	46.79031	0.21630	0.00016	2MASX	249.879801	46.790316	19.736	18.224	17.259	16.804	16.521	021.531	00.992	02.648	17.421	18.950
3748.209	46.68042	0.189661	0.000132925	10.04	249.880597	46.680414	23.030	20.608	19.347	18.890	18.446	022.044	01.286	01.412	19.300	20.197
3748.24185	46.61964	0.11125	0.00016	2MASX	249.882770	46.619652	19.620	17.840	16.835	16.389	16.032	020.632	01.028	02.148	16.977	18.226
3748.26049	46.7053794	0.193497	9.61333e-05	15.44	249.884032	46.705374	22.697	20.454	19.315	18.842	18.542	021.582	01.165	01.100	19.380	20.087
3748.26519	46.7181586	0.234793	0.000107741	13.86	249.884350	46.718163	22.991	20.980	19.598	19.190	18.888	021.389	01.408	00.854	19.737	20.191
3748.27249	46.5339508	0.396409	0.000104339	11.30	249.884836	46.533958	22.930	21.531	19.945	19.347	18.976	022.377	01.608	01.174	20.034	20.767
